fileID,sampleID,region,site,latitude,longitude,depthft,depthm,species,notes,permit,date
CNAT_Baggs_067.trim.un.bt2.bam,Baggs_067,Miami urban,Bill Baggs,25.66538,-80.15823,,,Cnat,,Baker,6/28/21
CNAT_Baggs_072.trim.un.bt2.bam,Baggs_072,Miami urban,Bill Baggs,25.66538,-80.15823,,,Cnat,,Baker,6/28/21
CNAT_Baggs_073.trim.un.bt2.bam,Baggs_073,Miami urban,Bill Baggs,25.66538,-80.15823,,,Cnat,,Baker,6/28/21
CNAT_Baggs_082.trim.un.bt2.bam,Baggs_082,Miami urban,Bill Baggs,25.66538,-80.15823,,,Cnat,,Baker,6/28/21
CNAT_Baggs_085.trim.un.bt2.bam,Baggs_085,Miami urban,Bill Baggs,25.66538,-80.15823,,,Cnat,,Baker,6/28/21
CNAT_Baggs_087.trim.un.bt2.bam,Baggs_087,Miami urban,Bill Baggs,25.66538,-80.15823,,,Cnat,,Baker,6/28/21
CNAT_urban_001.trim.un.bt2.bam,urban_001,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_013.trim.un.bt2.bam,urban_013,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_016.trim.un.bt2.bam,urban_016,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_017.trim.un.bt2.bam,urban_017,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_024.trim.un.bt2.bam,urban_024,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_025.trim.un.bt2.bam,urban_025,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_028.trim.un.bt2.bam,urban_028,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_030.trim.un.bt2.bam,urban_030,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_041.trim.un.bt2.bam,urban_041,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,7/26/22
CNAT_urban_052_2.trim.un.bt2.bam,urban_052_2,Broward reef,FTL4,26.1368,-80.0974,21,6.4,Cnat,,SAL,8/24/22
CNAT_urban_052_3.trim.un.bt2.bam,urban_052_3,Broward reef,FTL4,26.1368,-80.0974,21,6.4,Cnat,,SAL,8/24/22
CNAT_urban_052.trim.un.bt2.bam,urban_052,Broward reef,FTL4,26.1368,-80.0974,21,6.4,Cnat,,SAL,8/24/22
CNAT_urban_066.trim.un.bt2.bam,urban_066,Broward reef,BC1,26.14758,-80.0961,20,6.1,Cnat,,SAL,8/24/22
CNAT_urban_085_2.trim.un.bt2.bam,urban_085_2,Miami reef,Emerald Reef,25.67735,-80.09738,27,8.2,Cnat,,SAL,10/26/22
CNAT_urban_085.trim.un.bt2.bam,urban_085,Miami reef,Emerald Reef,25.67735,-80.09738,27,8.2,Cnat,,SAL,10/26/22
CNAT_urban_098.trim.un.bt2.bam,urban_098,Miami reef,Rainbow Reef,25.69,-80.097,25,7.6,Cnat,,SAL,10/26/22
CNAT_urban_113.trim.un.bt2.bam,urban_113,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_114.trim.un.bt2.bam,urban_114,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_117.trim.un.bt2.bam,urban_117,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_118.trim.un.bt2.bam,urban_118,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_119_2.trim.un.bt2.bam,urban_119_2,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_119_3.trim.un.bt2.bam,urban_119_3,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_119.trim.un.bt2.bam,urban_119,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_121.trim.un.bt2.bam,urban_121,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_122.trim.un.bt2.bam,urban_122,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Cnat,,SAL,10/26/22
CNAT_urban_130.trim.un.bt2.bam,urban_130,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,rescue,rescue,10/27/22
CNAT_urban_136.trim.un.bt2.bam,urban_136,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_137.trim.un.bt2.bam,urban_137,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_138.trim.un.bt2.bam,urban_138,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_140.trim.un.bt2.bam,urban_140,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_141.trim.un.bt2.bam,urban_141,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_142.trim.un.bt2.bam,urban_142,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_143.trim.un.bt2.bam,urban_143,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_146.trim.un.bt2.bam,urban_146,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_149.trim.un.bt2.bam,urban_149,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_150.trim.un.bt2.bam,urban_150,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_151.trim.un.bt2.bam,urban_151,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_156.trim.un.bt2.bam,urban_156,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Cnat,,SAL,10/27/22
CNAT_urban_174.trim.un.bt2.bam,urban_174,Miami urban,MacArthur North,25.77293,-80.15263,3.6,1.1,Cnat,,SAL,1/26/23
CNAT_urban_175.trim.un.bt2.bam,urban_175,Miami urban,MacArthur North,25.77293,-80.15263,4.3,1.3,Cnat,,SAL,1/26/23
CNAT_urban_176.trim.un.bt2.bam,urban_176,Miami urban,MacArthur North,25.77293,-80.15263,4.3,1.3,Cnat,,SAL,1/26/23
CNAT_urban_180.trim.un.bt2.bam,urban_180,Miami urban,MacArthur North,25.77293,-80.15263,3.9,1.2,Cnat,,SAL,1/26/23
