# Generated by Structure Selector
# http://lmme.qdio.ac.cn/StructureSelector/		
# Author: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Puechmaille Method:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608¨C627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	50
2	1	1	1	1	50
3	1	2	2	2	50
4	2	2	2	3	50
5	2	2	3	3	50
6	2	2	4	4	50
7	2	2	4	4	50
8	2	2	4	4	50
9	2	2	4	4	50
10	2	2	4	4	50
11	3	3	4	4	50
12	2	2	4	4	50
13	2	2	4	4	50
14	2	2	3	3	50
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	3	3	4	4
