fileID,sampleID,region,site,latitude,longitude,depthft,depthm,species,notes,permit,date
PSTR_nmfs_006.trim.un.bt2.bam,nmfs_006,Miami reef,Rainbow Reef,25.69,-80.097,18,5.5,Pstr,,NMFS,1/22/21
PSTR_nmfs_007.trim.un.bt2.bam,nmfs_007,Miami reef,Rainbow Reef,25.69,-80.097,21,6.4,Pstr,,NMFS,1/22/21
PSTR_nmfs_008.trim.un.bt2.bam,nmfs_008,Miami reef,Rainbow Reef,25.69,-80.097,23,7,Pstr,,NMFS,1/22/21
PSTR_nmfs_010.trim.un.bt2.bam,nmfs_010,Miami reef,Rainbow Reef,25.69,-80.097,25,7.6,Pstr,,NMFS,1/22/21
PSTR_nmfs_013.trim.un.bt2.bam,nmfs_013,Miami reef,Emerald Reef,25.67735,-80.09738,22,6.7,Pstr,,NMFS,1/22/21
PSTR_nmfs_016.trim.un.bt2.bam,nmfs_016,Miami reef,Emerald Reef,25.67735,-80.09738,22,6.7,Pstr,,NMFS,1/22/21
PSTR_nmfs_021.trim.un.bt2.bam,nmfs_021,Miami reef,Emerald Reef,25.67735,-80.09738,22,6.7,Pstr,,NMFS,1/22/21
PSTR_nmfs_022.trim.un.bt2.bam,nmfs_022,Miami reef,Emerald Reef,25.67735,-80.09738,21,6.4,Pstr,,NMFS,1/22/21
PSTR_nmfs_023.trim.un.bt2.bam,nmfs_023,Miami reef,Emerald Reef,25.67735,-80.09738,25,7.6,Pstr,,NMFS,1/22/21
PSTR_nmfs_024.trim.un.bt2.bam,nmfs_024,Miami reef,Emerald Reef,25.67735,-80.09738,22,6.7,Pstr,,NMFS,1/22/21
PSTR_nmfs_027.trim.un.bt2.bam,nmfs_027,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Pstr,,NMFS,1/22/21
PSTR_nmfs_028.trim.un.bt2.bam,nmfs_028,Miami urban,MacArthur North,25.77293,-80.15263,4,1.2,Pstr,,NMFS,1/22/21
PSTR_nmfs_029.trim.un.bt2.bam,nmfs_029,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Pstr,,NMFS,1/22/21
PSTR_nmfs_030.trim.un.bt2.bam,nmfs_030,Miami urban,MacArthur North,25.77293,-80.15263,3,0.9,Pstr,,NMFS,1/22/21
PSTR_NU1.trim.un.bt2.bam,NU1,Miami reef,CURES,25.76745,-80.1457,5,1.5,Pstr,puck024,isotopes,6/29/22
PSTR_NU2.trim.un.bt2.bam,NU2,Miami reef,CURES,25.76745,-80.1457,5,1.5,Pstr,puck030,isotopes,6/29/22
PSTR_NU3.trim.un.bt2.bam,NU3,Miami reef,CURES,25.76745,-80.1457,5,1.5,Pstr,puck038,isotopes,6/29/22
PSTR_NU4.trim.un.bt2.bam,NU4,Miami reef,CURES,25.76745,-80.1457,5,1.5,Pstr,puck027,isotopes,6/29/22
