"","Comparison","Df","SumOfSqs","R2","F","Pr(>F)"
"Region...1","1",1,3.61106080045362,0.0691843693729125,18.7303054528945,0.001
"Residual...2","1",252,48.5836882907688,0.930815630627087,NA,NA
"Total...3","1",253,52.1947490912224,1,NA,NA
"Region...4","2",1,0.0839785128549044,0.00658565051237547,0.411017147052359,0.59
"Residual...5","2",62,12.6677629737447,0.993414349487625,NA,NA
"Total...6","2",63,12.7517414865996,1,NA,NA
"Region...7","3",1,4.40924882201465,0.221907643593625,23.9563361706245,0.001
"Residual...8","3",84,15.4604985675309,0.778092356406375,NA,NA
"Total...9","3",85,19.8697473895456,1,NA,NA
"Region...10","4",1,0.688636630316635,0.0514104915848084,3.95636453112484,0.05
"Residual...11","4",73,12.7062290690443,0.948589508415192,NA,NA
"Total...12","4",74,13.394865699361,1,NA,NA
"Region...13","5",1,0.129460626518193,0.00996696021906885,0.624172637429358,0.43
"Residual...14","5",62,12.8595173239012,0.990033039780931,NA,NA
"Total...15","5",63,12.9889779504194,1,NA,NA
"Region...16","6",1,0.291446928745513,0.00725815667858081,1.50611187172812,0.204
"Residual...17","6",206,39.8629533758921,0.992741843321419,NA,NA
"Total...18","6",207,40.1544003046376,1,NA,NA
"Region...19","7",1,0.871443313107909,0.0200206920926087,4.65797365340508,0.033
"Residual...20","7",228,42.6556889696783,0.979979307907391,NA,NA
"Total...21","7",229,43.5271322827862,1,NA,NA
"Region...22","8",1,4.5901023455225,0.103168022987205,24.9628264402353,0.001
"Residual...23","8",217,39.9014194711917,0.896831977012795,NA,NA
"Total...24","8",218,44.4915218167142,1,NA,NA
"Region...25","9",1,0.216024174811676,0.00536429721077557,1.11100498636931,0.306
"Residual...26","9",206,40.0547077260486,0.994635702789224,NA,NA
"Total...27","9",207,40.2707319008603,1,NA,NA
"Region...28","10",1,0.943538237600345,0.122803743895202,5.31983833211908,0.028
"Residual...29","10",38,6.73976365265427,0.877196256104798,NA,NA
"Total...30","10",39,7.68330189025461,1,NA,NA
"Region...31","11",1,0.634623673919969,0.137360928342958,4.29930104850891,0.023
"Residual...32","11",27,3.98549415416767,0.862639071657042,NA,NA
"Total...33","11",28,4.62011782808764,1,NA,NA
"Region...34","12",1,0.00625871811143087,0.001509929074155,0.0241953985221694,0.679
"Residual...35","12",16,4.13878240902458,0.998490070925845,NA,NA
"Total...36","12",17,4.14504112713601,1,NA,NA
"Region...37","13",1,5.70651175427761,0.457078887316782,41.2525226138892,0.001
"Residual...38","13",49,6.77822974795386,0.542921112683218,NA,NA
"Total...39","13",50,12.4847415022315,1,NA,NA
"Region...40","14",1,0.819138477320032,0.105686335011742,4.49068474258293,0.072
"Residual...41","14",38,6.93151800281077,0.894313664988258,NA,NA
"Total...42","14",39,7.7506564801308,1,NA,NA
"Region...43","15",1,0.731129677445936,0.148955449309382,4.72571868075492,0.014
"Residual...44","15",27,4.17724850432417,0.851044550690617,NA,NA
"Total...45","15",28,4.90837818177011,1,NA,NA
