"","ID","Sample.Plate","Species","Region","Site","CollectionDate","Season","Rain","Depth","Symbiodinium","Breviolum","Cladocopium","Durusdinium","dom","background","totalSym","sort","count"
"1","urban_193","Sample 3_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,336,2
"2","urban_209","Sample 4_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,337,2
"3","urban_210","Sample 5_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,338,2
"4","urban_012","Sample 6_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0,0,1,"D","",1,339,2
"5","urban_072","Sample 7_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Sep","Fall","Wet",5,0,0,1.93316e-05,0.999980668,"D","C",1,340,2
"6","urban_073","Sample 8_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Sep","Fall","Wet",5,0,0,1.46658e-05,0.999985334,"D","C",1,341,2
"7","urban_075","Sample 9_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Sep","Fall","Wet",5,0,0,6.65437e-05,0.999933456,"D","C",1,342,2
"8","M2","Sample 10_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,343,2
"9","urban_097","Sample 11_UrbanPopgen_Plate31_7-13-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.6,0,0.045025349,0.002134649,0.952840002,"D","BC",1,344,2
"10","OS16 rex","Sample 12_UrbanPopgen_Plate31_7-13-23_data.csv","Pseu","Miami reef","Rainbow Reef","22-Jun","Summer","Wet",7,0,1,0,0,"B","",1,345,2
"11","urban_222","Sample 11_UrbanPopgen_Plate34_7-17-23_data.csv","Dlab","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0,0,0,1,"D","",1,380,2
"12","urban_417","Sample 2_UrbanPopgen_Plate57_1-24-24_data.csv","Pseu","North Miami reef","Pillars","24-Jan","Winter","Dry",9.8,0,0.999992801,7.19929e-06,0,"B","C",1,591,2
"13","Baggs_009","Sample 1_UrbanPopgen_Plate60_3-24-24_data.csv","Pseu","Miami urban","Bill Baggs","21-Sep","Fall","Wet",1,0,0,0,0,"0","",0,624,2
"14","Baggs_085","Sample 2_UrbanPopgen_Plate60_3-24-24_data.csv","Cnat","Miami urban","Bill Baggs","21-Jun","Summer","Wet",1,0,0.98004749,0,0.01995251,"","",1,625,2
"15","Baggs_039","Sample 1_UrbanPopgen_Plate61_3-24-24_data.csv","Ofav","Miami urban","Bill Baggs","21-Oct","Fall","Dry",1,0,0,0,0,"","",0,636,2
"16","Baggs_087","Sample 2_UrbanPopgen_Plate61_3-24-24_data.csv","Cnat","Miami urban","Bill Baggs","21-Jun","Summer","Wet",1,0,0,0,0,"0","",0,637,2
"17","Baggs_067","Sample 2_UrbanPopgen_Plate62_3-24-24_data.csv","Cnat","Miami urban","Bill Baggs","21-Jun","Summer","Wet",1,0,0,0,1,"D","0",1,648,2
"18","Baggs_108","Sample 3_UrbanPopgen_Plate62_3-24-24_data.csv","Ofav","Miami urban","Bill Baggs","21-Oct","Fall","Dry",1,0,0,0,1,"D","",1,649,2
"19","urban_540","Sample 1_UrbanPopgen_Plate64_3-24-24_data.csv","Dlab","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.8,0,0,0,1,"D","",1,670,2
"20","urban_548","Sample 2_UrbanPopgen_Plate64_3-24-24_data.csv","Dlab","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.5,0,0,0.575010189,0.424989811,"","",1,671,2
"21","Baggs_070","Sample 3_UrbanPopgen_Plate64_3-24-24_data.csv","Cnat","Miami urban","Bill Baggs","21-Jun","Summer","Wet",1,0,0.52665394,0.460149935,0.013196126,"","",1,672,3
"22","Baggs_201","Sample 4_UrbanPopgen_Plate64_3-24-24_data.csv","Pseu","Miami urban","Bill Baggs","20-Jun","Summer","Wet",1,0,0,0,1,"","",1,673,3
"23","urban_401","Sample 5_UrbanPopgen_Plate64_3-24-24_data.csv","Pseu","Miami urban","Seaquarium","24-Jan","Winter","Dry",1.2,0,0,0,1,"","",1,674,2
"24","urban_467","Sample 6_UrbanPopgen_Plate64_3-24-24_data.csv","Pseu","Miami urban","Seaquarium","24-Jan","Winter","Dry",0.3,0,0,0.99838827,0.00161173,"","",1,675,2
"25","urban_475","Sample 7_UrbanPopgen_Plate64_3-24-24_data.csv","Pseu","Miami urban","Coral City Camera","24-Jan","Winter","Dry",2.1,0,0.01067702,0.012574632,0.976748348,"","",1,676,2
"26","urban_498","Sample 8_UrbanPopgen_Plate64_3-24-24_data.csv","Dlab","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.5,0,0,0,0,"","",0,677,2
"27","urban_507","Sample 9_UrbanPopgen_Plate64_3-24-24_data.csv","Pseu","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.5,0,0,1,0,"","",1,678,2
"28","urban_515","Sample 10_UrbanPopgen_Plate64_3-24-24_data.csv","Pseu","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.5,0,0,0,0,"","",0,679,2
"29","urban_523","Sample 11_UrbanPopgen_Plate64_3-24-24_data.csv","Pseu","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.7,0,0,0,1,"","",1,680,2
"30","urban_533","Sample 12_UrbanPopgen_Plate64_3-24-24_data.csv","Dlab","Miami urban","Coral City Camera","24-Jan","Winter","Dry",0.3,0,0,0,1,"","",1,681,2
"31","Baggs_073","Sample 3_UrbanPopgen_Plate66_3-24-24_data.csv","Cnat","Miami urban","Bill Baggs","21-Jun","Summer","Wet",1,0,0,0,1,"D","0",1,696,2
"32","Baggs_205","Sample 4_UrbanPopgen_Plate66_3-24-24_data.csv","Cnat","Miami urban","Bill Baggs","20-Jun","Summer","Wet",1,0,0.859652285,0,0.140347715,"B","",1,697,2
"33","Baggs_077","Sample 4_UrbanPopgen_Plate67_3-24-24_data.csv","Cnat","Miami urban","Bill Baggs","21-Jun","Summer","Wet",1,0,1,0,0,"B","0",1,708,2
"34","Baggs_206","Sample 5_UrbanPopgen_Plate67_3-24-24_data.csv","Ofav","Miami urban","Bill Baggs","20-Jun","Summer","Wet",1,0,0,0,1,"D","0",1,709,2
"35","Baggs_082","Sample 4_UrbanPopgen_Plate68_3-25-24_data.csv","Cnat","Miami urban","Bill Baggs","21-Jun","Summer","Wet",1,0,0.921537617,0,0.078462383,"B","",1,720,2
"36","Baggs_210","Sample 5_UrbanPopgen_Plate68_3-25-24_data.csv","Pseu","Miami urban","Bill Baggs","20-Jun","Summer","Wet",1,0,0.991127386,0,0.008872614,"B","",1,721,2
"37","Peanut_017","Sample 9_UrbanPopgen_Plate81_3-30-24_data.csv","Pseu","Palm Beach urban","Peanut Island","23-Mar","Spring","Dry",1.6,0,0,0,1,"D","",1,874,2
"38","Peanut_027","Sample 10_UrbanPopgen_Plate81_3-30-24_data.csv","Pseu","Palm Beach urban","Peanut Island","23-Mar","Spring","Dry",1.6,0,0,0,0,"0","0",0,875,2
"39","Peanut_046","Sample 1_UrbanPopgen_Plate82_3-31-24_data.csv","Pseu","Palm Beach urban","Peanut Island","23-Mar","Spring","Dry",1.6,0,0,0,1,"D","",1,878,2
"40","Peanut_051","Sample 2_UrbanPopgen_Plate82_3-31-24_data.csv","Pseu","Palm Beach urban","Peanut Island","23-Mar","Spring","Dry",1.6,0,0,0,1,"D","0",1,879,2
"41","Peanut_060","Sample 4_UrbanPopgen_Plate82_3-31-24_data.csv","Dlab","Palm Beach urban","Peanut Island","23-Mar","Spring","Dry",1.6,0,0,0,1,"D","",1,881,2
"42","urban_006","Sample 6_UrbanPopgen_Plate82_3-31-24_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0,0,1,"D","0",1,883,2
"43","urban_015","Sample 7_UrbanPopgen_Plate82_3-31-24_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0,0,1,"D","0",1,884,2
"44","urban_031","Sample 8_UrbanPopgen_Plate82_3-31-24_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0.708097691,0.222144267,0.069758042,"B","D",1,885,2
"45","urban_043","Sample 9_UrbanPopgen_Plate82_3-31-24_data.csv","Mcav","Broward reef","FTL4","22-Aug","Summer","Wet",5.5,0,0,1,0,"C","0",1,886,2
"46","urban_044","Sample 10_UrbanPopgen_Plate82_3-31-24_data.csv","Mcav","Broward reef","FTL4","22-Aug","Summer","Wet",5.5,0,0,1,0,"C","0",1,887,2
"47","urban_045","Sample 11_UrbanPopgen_Plate82_3-31-24_data.csv","Mcav","Broward reef","FTL4","22-Aug","Summer","Wet",5.5,0,0,1,0,"C","0",1,888,2
"48","urban_046","Sample 1_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Broward reef","FTL4","22-Aug","Summer","Wet",5.8,0,0,1,0,"","",1,889,2
"49","urban_050","Sample 2_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Broward reef","FTL4","22-Aug","Summer","Wet",6.1,0,0,1,0,"C","",1,890,2
"50","urban_051","Sample 3_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Broward reef","FTL4","22-Aug","Summer","Wet",5.8,0,0,1,0,"C","",1,891,2
"51","urban_055","Sample 4_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Broward reef","BC1","22-Aug","Summer","Wet",5.5,0,0.99920809,0.00079191,0,"B","C",1,892,2
"52","urban_058","Sample 5_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Broward reef","BC1","22-Aug","Summer","Wet",5.8,0,0,1,0,"C","",1,893,2
"53","urban_067","Sample 6_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Broward reef","BC1","22-Aug","Summer","Wet",6.4,0,0,0,1,"D","",1,894,2
"54","urban_071","Sample 7_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Broward reef","BC1","22-Aug","Summer","Wet",7.3,0,0,1,0,"C","",1,895,2
"55","urban_074","Sample 8_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Miami urban","Star Island","22-Sep","Fall","Wet",5,0,0,1,0,"C","",1,896,2
"56","urban_104","Sample 9_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0,0,0.419124223,0.580875777,"D","",1,897,2
"57","urban_131","Sample 10_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0.091078245,0,0.908921755,"D","",1,898,2
"58","urban_134","Sample 11_UrbanPopgen_Plate83_3-31-24_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,0,"0","",0,899,2
"59","urban_166","Sample 12_UrbanPopgen_Plate83_3-31-24_data.csv","Ofav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0,0,0,0,"0","",0,900,2
"60","urban_199","Sample 1_UrbanPopgen_Plate84_3-31-24_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"","",1,901,2
"61","urban_293","Sample 2_UrbanPopgen_Plate84_3-31-24_data.csv","Pseu","Broward reef","T328","23-May","Spring","Dry",5.5,0,0.998847385,0.001152615,0,"B","",1,902,2
"62","urban_296","Sample 3_UrbanPopgen_Plate84_3-31-24_data.csv","Pseu","Broward reef","T328","23-May","Spring","Dry",5.2,0,0.008825043,0.002936523,0.988238434,"D","BC",1,903,2
"63","urban_347","Sample 4_UrbanPopgen_Plate84_3-31-24_data.csv","Dlab","Miami urban","MacArthur North","23-Aug","Summer","Wet",1.2,0,0,0,1,"D","",1,904,2
"64","urban_348","Sample 5_UrbanPopgen_Plate84_3-31-24_data.csv","Dlab","Miami urban","MacArthur North","23-Aug","Summer","Wet",0.9,0,0,0.669365261,0.330634739,"C","",1,905,2
"65","urban_389","Sample 6_UrbanPopgen_Plate84_3-31-24_data.csv","Mcav","North Miami reef","Pillars","24-Jan","Winter","Dry",9.8,0,0,0.00013544,0.99986456,"D","",1,906,2
"66","urban_390","Sample 7_UrbanPopgen_Plate84_3-31-24_data.csv","Mcav","North Miami reef","Pillars","24-Jan","Winter","Dry",9.4,0,0.004351704,0,0.995648296,"D","B",1,907,2
"67","urban_396","Sample 8_UrbanPopgen_Plate84_3-31-24_data.csv","Mcav","North Miami reef","Graceland","24-Jan","Winter","Dry",5.5,0,0,0.998750201,0.001249799,"C","",1,908,2
"68","urban_397","Sample 9_UrbanPopgen_Plate84_3-31-24_data.csv","Mcav","North Miami reef","Graceland","24-Jan","Winter","Dry",5.5,0,0.002889683,0.936732758,0.060377559,"C","",1,909,2
"69","urban_408","Sample 10_UrbanPopgen_Plate84_3-31-24_data.csv","Pseu","North Miami reef","South Canyon","24-Jan","Winter","Dry",4.9,0,0.999924828,7.51717e-05,0,"B","C",1,910,2
"70","urban_414","Sample 11_UrbanPopgen_Plate84_3-31-24_data.csv","Pseu","North Miami reef","South Canyon","24-Jan","Winter","Dry",5.2,0,0.024135266,0,0.975864734,"D","B",1,911,2
"71","urban_429","Sample 1_UrbanPopgen_Plate85_3-31-24_data.csv","Mcav","North Miami reef","Graceland","24-Jan","Winter","Dry",5.8,0,0,0,0,"","",0,912,2
"72","urban_428","Sample 2_UrbanPopgen_Plate85_3-31-24_data.csv","Mcav","North Miami reef","Graceland","24-Jan","Winter","Dry",5.5,0,0,0,1,"","",1,913,2
"73","urban_451","Sample 3_UrbanPopgen_Plate85_3-31-24_data.csv","Mcav","North Miami reef","Graceland","24-Jan","Winter","Dry",5.8,0,0,0.335168995,0.664831005,"","",1,914,2
"74","urban_455","Sample 4_UrbanPopgen_Plate85_3-31-24_data.csv","Dlab","Miami urban","Miami Beach Marina","24-Jan","Winter","Dry",1.3,0,0.004132076,9.05951e-05,0.995777329,"","",1,915,2
"75","urban_456","Sample 5_UrbanPopgen_Plate85_3-31-24_data.csv","Pseu","Miami urban","Miami Beach Marina","24-Jan","Winter","Dry",2,0,1,0,0,"","",1,916,2
"76","urban_457","Sample 6_UrbanPopgen_Plate85_3-31-24_data.csv","Pseu","Miami urban","Miami Beach Marina","24-Jan","Winter","Dry",2,0,0,1,0,"C","",1,917,2
"77","urban_460","Sample 7_UrbanPopgen_Plate85_3-31-24_data.csv","Pseu","Miami urban","Miami Beach Marina","24-Jan","Winter","Dry",2.2,0,1,0,0,"","",1,918,2
"78","urban_478","Sample 8_UrbanPopgen_Plate85_3-31-24_data.csv","Pseu","Miami urban","Miami Beach Marina","24-Jan","Winter","Dry",1.3,0,1,0,0,"","",1,919,2
"79","Peanut_002","Sample 1_UrbanPopgen_Plate86_4-3-24_data.csv","Mcav","Palm Beach urban","Peanut Island","23-Mar","Spring","Dry",1.6,0,0,0,0,"","",0,924,2
