,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,propA,propB,propC,propD,dom,background,totalSym,redo
1,reps,Sample 8,UrbanPopgen_Plate11_7-6-23_data.csv,30.32711697,32.7084465,32.68205261,21.49508953,1.340058037,NA,NA,0.332212922,2,1,1,2,0,0,0.000731431,0,0,0,0,0,0,1367.182325,0,0,Sample 8_UrbanPopgen_Plate11_7-6-23_data.csv,urban_085,Cnat,Miami reef,Emerald Reef,22-Oct,Fall,Wet,0.000731,0,0,0.999269103,D,A,1,n
2,reps,Sample 5,UrbanPopgen_Plate12_7-6-23_data.csv,30.43907834,39.62171936,NA,20.06296539,0.157559082,NA,NA,0.319134586,2,1,0,2,0,0,0.000250817,0,0,0,0,0,0,3986.965609,0,0,Sample 5_UrbanPopgen_Plate12_7-6-23_data.csv,urban_258,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.000251,0,0,0.999749246,D,A,1,n
3,reps,Sample 8,UrbanPopgen_Plate12_7-6-23_data.csv,32.92167187,32.70606995,29.8452425,22.52977371,2.879808516,NA,0.090294057,0.265704523,2,1,2,2,0,0.302961754,0.000248088,0,0,0,3.300746666,0,0.000818876,4030.828427,0,1221.186851,Sample 8_UrbanPopgen_Plate12_7-6-23_data.csv,urban_262,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0,0,0.000818,0.999181795,D,C,1,n
4,reps,Sample 10,UrbanPopgen_Plate13_7-6-23_data.csv,26.72594357,33.21519852,30.4431696,21.97019577,0.206411661,NA,0.41493943,0.413753931,2,1,2,2,0,33.61103316,0.012338319,0,0,0,0.029752135,0,0.000367091,81.04831548,0,2724.117619,Sample 10_UrbanPopgen_Plate13_7-6-23_data.csv,urban_122,Cnat,Miami urban,MacArthur North,22-Oct,Fall,Wet,0.012183523,0,0.000362,0.987453991,D,AC,1,n
5,reps,Sample 5,UrbanPopgen_Plate13_7-6-23_data.csv,31.59244824,38.04188538,NA,21.58205319,1.327828031,NA,NA,0.097239861,2,1,0,2,0,0,0.000323184,0,0,0,0,0,0,3094.214616,0,0,Sample 5_UrbanPopgen_Plate13_7-6-23_data.csv,urban_114,Cnat,Miami urban,MacArthur North,22-Oct,Fall,Wet,0.000323,0,0,0.999676921,D,A,1,n
6,reps,Sample 8,UrbanPopgen_Plate13_7-6-23_data.csv,25.95325947,39.59902954,29.23233605,22.71737671,0.466597307,NA,0.913843485,0.180024366,2,1,2,2,0,24.80765615,0.035381885,0,0,0,0.040310136,0,0.001426249,28.26305007,0,701.140028,Sample 8_UrbanPopgen_Plate13_7-6-23_data.csv,urban_119,Cnat,Miami urban,MacArthur North,22-Oct,Fall,Wet,0.034125779,0,0.001375615,0.964498606,D,AC,1,n
7,reps,Sample 9,UrbanPopgen_Plate13_7-6-23_data.csv,26.83033371,32.51837921,34.38092422,22.0706482,0.302033081,NA,NA,0.225362236,2,1,1,2,0,0,0.012304689,0,0,0,0,0,0,81.2698325,0,0,Sample 9_UrbanPopgen_Plate13_7-6-23_data.csv,urban_121,Cnat,Miami urban,MacArthur North,22-Oct,Fall,Wet,0.012155124,0,0,0.987844876,D,A,1,n
8,reps,Sample 4,UrbanPopgen_Plate15_7-7-23_data.csv,28.65482426,39.50046158,33.0190773,20.79464531,0.039601855,NA,NA,0.280774892,2,1,1,2,0,0,0.001434594,0,0,0,0,0,0,697.0611685,0,0,Sample 4_UrbanPopgen_Plate15_7-7-23_data.csv,urban_204,Cnat,Miami urban,MacArthur North,23-Jan,Winter,Dry,0.001432539,0,0,0.998567461,D,A,1,n
9,reps,Sample 7,UrbanPopgen_Plate15_7-7-23_data.csv,27.60112763,32.26917267,30.74629402,21.78256321,0.229176355,NA,NA,0.210244667,2,1,1,2,0,0,0.005906311,0,0,0,0,0,0,169.3104154,0,0,Sample 7_UrbanPopgen_Plate15_7-7-23_data.csv,urban_208,Cnat,Miami urban,MacArthur North,23-Jan,Winter,Dry,0.005871631,0,0,0.994128369,D,A,1,n
10,reps,Sample 8,UrbanPopgen_Plate15_7-7-23_data.csv,28.48943996,21.37629509,36.02116776,33.15000534,0.348675146,0.062744187,NA,NA,2,2,1,1,0.000802578,0,0,1245.984038,0,0,0,0,0,0,0,0,Sample 8_UrbanPopgen_Plate15_7-7-23_data.csv,urban_001,Cnat,Miami urban,Star Island,22-Jul,Summer,Wet,0.000802,0.999198065,0,0,B,A,1,n
11,reps,Sample 7,UrbanPopgen_Plate16_7-7-23_data.csv,27.30969715,32.50455093,NA,20.05764676,0.106729312,NA,NA,0.396769756,2,1,0,2,0,0,0.002186724,0,0,0,0,0,0,457.3050041,0,0,Sample 7_UrbanPopgen_Plate16_7-7-23_data.csv,urban_137,Cnat,Miami urban,Star Island,22-Oct,Fall,Wet,0.002181953,0,0,0.997818047,D,A,1,n
12,reps,Sample 9,UrbanPopgen_Plate16_7-7-23_data.csv,32.41207504,32.77780914,31.32669449,20.8850832,0.351622056,NA,NA,0.02244101,2,1,1,2,0,0,0.000112956,0,0,0,0,0,0,8853.022303,0,0,Sample 9_UrbanPopgen_Plate16_7-7-23_data.csv,urban_140,Cnat,Miami urban,Star Island,22-Oct,Fall,Wet,0.000113,0,0,0.999887057,D,A,1,n
13,reps,Sample 3,UrbanPopgen_Plate17_7-10-23_data.csv,27.38277245,32.6592865,32.28798294,20.46201515,0.262842586,NA,2.003292979,0.018889877,2,1,2,2,0,76.57743593,0.002751207,0,0,0,0.013058677,0,3.59E-05,363.4768814,0,27834.1276,Sample 3_UrbanPopgen_Plate17_7-10-23_data.csv,urban_149 rex,Cnat,Miami urban,Star Island,22-Oct,Fall,Wet,0.002743658,0,0,0.997256342,D,A,1,n
14,reps,Sample 5,UrbanPopgen_Plate50_1-19-24_data.csv,NA,25.29868031,NA,33.81267548,NA,0.110246715,NA,NA,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 5_UrbanPopgen_Plate50_1-19-24_data.csv,Baggs_205,Cnat,Miami urban,Bill Baggs,20-Jun,Summer,Wet,0,1,0,0,B,,1,y
15,reps,Sample 7,UrbanPopgen_Plate50_1-19-24_data.csv,38.58136749,NA,36.41657067,33.93432999,NA,NA,0.726390481,NA,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 7_UrbanPopgen_Plate50_1-19-24_data.csv,Baggs_072,Cnat,Miami urban,Bill Baggs,21-Jun,Summer,Wet,0,0,0,0,,,0,y
16,reps,Sample 8,UrbanPopgen_Plate50_1-19-24_data.csv,NA,33.34484482,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 8_UrbanPopgen_Plate50_1-19-24_data.csv,Baggs_073,Cnat,Miami urban,Bill Baggs,21-Jun,Summer,Wet,0,0,0,0,,,0,y
17,reps,Sample 9,UrbanPopgen_Plate50_1-19-24_data.csv,NA,33.69557571,NA,31.75857925,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 9_UrbanPopgen_Plate50_1-19-24_data.csv,Baggs_077,Cnat,Miami urban,Bill Baggs,21-Jun,Summer,Wet,0,0,0,0,,,0,y
18,reps,Sample 1,UrbanPopgen_Plate51_1-22-24_data.csv,32.81980515,33.4416275,NA,28.01942444,NA,NA,NA,0.945109024,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate51_1-22-24_data.csv,Baggs_067,Cnat,Miami urban,Bill Baggs,21-Jun,Summer,Wet,0,0,0,1,D,,1,y
