,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,propA,propB,propC,propD,dom,background,totalSym,redo
6,reps,Sample 6,UrbanPopgen_Plate33_7-17-23_data.csv,19.59187698,30.32913017,37.05485153,36.47458649,0.191366924,0.068845698,NA,NA,2,2,1,1,189.6674354,0,0,0.005272386,0,0,0,0,0,0,0,0,Sample 6_UrbanPopgen_Plate33_7-17-23_data.csv,urban_309,Dlab,Miami reef,Rainbow Reef,23-Jun,Summer,Wet,0.994755266,0.005244734,0,0,A,B,1,n
7,reps,Sample 7,UrbanPopgen_Plate33_7-17-23_data.csv,34.8383131,29.66389084,35.97744751,36.97248077,4.655807931,0.316512719,0.206404922,NA,2,2,2,1,0.003076814,5.628581424,0,325.0115688,1829.354079,0,0.177664659,0.000546641,0,0,0,0,Sample 7_UrbanPopgen_Plate33_7-17-23_data.csv,urban_310,Dlab,Miami reef,Rainbow Reef,23-Jun,Summer,Wet,0,0.999453658,0.000546,0,B,C,1,n
10,reps,Sample 10,UrbanPopgen_Plate34_7-17-23_data.csv,37.44640351,31.3714695,36.09320832,34.83739853,0.910571532,0.027955834,2.712147678,NA,2,2,2,1,0.001648239,1.000306255,0,606.7082027,606.89401,0,0.999693839,0.001647734,0,0,0,0,Sample 10_UrbanPopgen_Plate34_7-17-23_data.csv,urban_335,Dlab,Miami reef,Emerald Reef,23-Jul,Summer,Wet,0,1,0,0,B,,1,n
11,reps,Sample 6,UrbanPopgen_Plate34_7-17-23_data.csv,34.21731949,39.38322449,NA,22.18538189,NA,NA,NA,0.196536483,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sample 6_UrbanPopgen_Plate34_7-17-23_data.csv,urban_331,Dlab,Miami reef,Emerald Reef,23-Jul,Summer,Wet,0,0,0,1,D,,1,n
14,reps,Sample 9,UrbanPopgen_Plate34_7-17-23_data.csv,36.82513809,39.1257782,36.96447754,23.79170704,3.043334242,NA,NA,0.039752907,2,1,1,2,0,0,3.98E-05,0,0,0,0,0,0,25152.14032,0,0,Sample 9_UrbanPopgen_Plate34_7-17-23_data.csv,urban_334,Dlab,Miami reef,Emerald Reef,23-Jul,Summer,Wet,0,0,0,1,D,,1,n
16,reps,Sample 8,UrbanPopgen_Plate43_1-18-24_data.csv,30.59121991,25.25601769,32.65916253,34.84350204,0.187295199,1.409290805,1.236333632,NA,2,2,2,1,0.002752337,10.71514579,0,363.3276172,3893.108388,0,0.093325842,0.000256864,0,0,0,0,Sample 8_UrbanPopgen_Plate43_1-18-24_data.csv,urban_306,Dlab,Broward reef,FTL4,23-May,Spring,Dry,0.002744079,0.996999827,0.000256,0,B,AC,1,n
141,reps,Sample 2,UrbanPopgen_Plate47_1-16-24_data.csv,NA,NA,NA,36.99762726,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate47_1-16-24_data.csv,Peanut_060,Dlab,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y
36,reps,Sample 5,UrbanPopgen_Plate55_1-24-24_data.csv,27.00060654,20.30470848,27.80988122,27.58774376,NA,NA,0.02744333,NA,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 5_UrbanPopgen_Plate55_1-24-24_data.csv,urban_455,Dlab,Miami urban,Miami Beach Marina,24-Jan,Winter,Dry,0,0,1,0,C,,1,y
15,stdv,Sample 7,UrbanPopgen_Plate43_1-18-24_data.csv,22.54347801,31.7078476,NA,25.84335137,0.113010202,2.199248185,NA,0.059466839,2,2,0,2,63.75402773,0,3.282763583,0.015685284,0,0.051491078,0,0,0,0.304621388,19.42084043,0,Sample 7_UrbanPopgen_Plate43_1-18-24_data.csv,urban_054,Dlab,Broward reef,FTL4,22-Aug,Summer,Wet,0.766505907,0,0,0.233494093,A,,1,n
32,stdv,Sample 6,UrbanPopgen_Plate52_1-22-24_data.csv,38.59813309,35.3498497,NA,21.89802265,0.965878992,NA,NA,1.750224426,2,1,0,2,0,0,3.13E-06,0,0,0,0,0,0,319415.0878,0,0,Sample 6_UrbanPopgen_Plate52_1-22-24_data.csv,urban_348,Dlab,Miami urban,MacArthur North,23-Aug,Summer,Wet,0,0,0,0,,,0,y
33,stdv,Sample 7,UrbanPopgen_Plate52_1-22-24_data.csv,38.16387749,37.82138062,NA,25.04563332,0.360520768,NA,NA,1.554219326,2,1,0,2,0,0,3.75E-05,0,0,0,0,0,0,26675.1114,0,0,Sample 7_UrbanPopgen_Plate52_1-22-24_data.csv,urban_347,Dlab,Miami urban,MacArthur North,23-Aug,Summer,Wet,0,0,0,0,,,0,y
