,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,propA,propB,propC,propD,dom,background,totalSym,failed
2,reps,Sample 11,UrbanPopgen_Plate05_6-30-23_data.csv,30.69681072,21.64697266,37.6115303,NA,2.967188034,0.244017438,NA,NA,2,2,1,0,0.000209645,0,0,4769.965335,0,0,0,0,0,0,0,0,Sample 11_UrbanPopgen_Plate05_6-30-23_data.csv,nmfs_015,Ofav,Miami reef,Emerald Reef,21-Jan,Winter,Dry,0,1,0,0,B,,1,y
6,reps,Sample 1,UrbanPopgen_Plate06_6-30-23_data.csv,33.04076767,21.5879345,38.73533249,31.94250298,3.020978206,0.030680211,NA,NA,2,2,1,1,3.96E-05,0,0,25228.34892,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate06_6-30-23_data.csv,nmfs_036,Ofav,Miami reef,Emerald Reef,21-Feb,Winter,Dry,0,1,0,0,B,,1,n
7,reps,Sample 10,UrbanPopgen_Plate06_6-30-23_data.csv,22.83199501,NA,31.29049874,21.78298569,0.279763361,NA,0.426013599,0.09883537,2,0,2,2,0,898.9771773,0.161099975,0,0,0,0.001112375,0,0.000179204,6.207325589,0,5580.244036,Sample 10_UrbanPopgen_Plate06_6-30-23_data.csv,urban_082,Ofav,Miami reef,Emerald Reef,22-Oct,Fall,Wet,0.13872631,0,0.000154,0.861119374,D,C,1,n
8,reps,Sample 11,UrbanPopgen_Plate06_6-30-23_data.csv,24.5691948,32.97411346,33.86037445,21.03030777,0.069935442,NA,0.003975962,0.262656469,2,1,2,2,0,1601.065494,0.028679237,0,0,0,0.000624584,0,1.79E-05,34.8684306,0,55826.64107,Sample 11_UrbanPopgen_Plate06_6-30-23_data.csv,urban_084,Ofav,Miami reef,Emerald Reef,22-Oct,Fall,Wet,0.027879184,0,1.74E-05,0.972103403,D,AC,1,n
12,reps,Sample 5,UrbanPopgen_Plate06_6-30-23_data.csv,28.08061982,21.92502118,34.16170502,NA,0.501168514,0.058548378,NA,NA,2,2,1,0,0.001558611,0,0,641.5970248,0,0,0,0,0,0,0,0,Sample 5_UrbanPopgen_Plate06_6-30-23_data.csv,nmfs_043,Ofav,Miami reef,Emerald Reef,21-Feb,Winter,Dry,0.001556185,0.998443815,0,0,B,A,1,n
16,reps,Sample 9,UrbanPopgen_Plate06_6-30-23_data.csv,20.57957173,33.2009964,31.9464283,20.93034744,0.395744748,NA,0.281692002,0.380430265,2,1,2,2,0,6749.166008,0.425082041,0,0,0,0.000148166,0,6.30E-05,2.352487057,0,15877.32568,Sample 9_UrbanPopgen_Plate06_6-30-23_data.csv,urban_081,Ofav,Miami reef,Emerald Reef,22-Oct,Fall,Wet,0.298272831,0,4.42E-05,0.701682975,D,C,1,n
19,reps,Sample 11,UrbanPopgen_Plate08_7-3-23_data.csv,19.58049965,22.71977806,23.58795071,33.23731232,0.262308501,0.098080095,0.091016961,NA,2,2,2,1,0.978981436,41.10061324,0,1.021469829,41.98303636,0,0.024330537,0.023819144,0,0,0,0,Sample 11_UrbanPopgen_Plate08_7-3-23_data.csv,urban_096,Ofav,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,0.488806248,0.499300834,0.011892919,0,,C,1,n
22,reps,Sample 4,UrbanPopgen_Plate08_7-3-23_data.csv,26.34863186,21.24620343,32.53500271,33.71208191,0.201710101,0.434320237,2.863807552,NA,2,2,2,1,0.003234249,186.109489,0,309.1907688,57543.33599,0,0.005373181,1.74E-05,0,0,0,0,Sample 4_UrbanPopgen_Plate08_7-3-23_data.csv,nmfs_051,Ofav,Miami reef,Rainbow Reef,21-Feb,Winter,Dry,0.003223823,0.996776177,0,0,B,A,1,n
26,reps,Sample 8,UrbanPopgen_Plate08_7-3-23_data.csv,23.92469693,39.00389099,32.95432281,22.28770733,0.121330324,NA,NA,0.170261131,2,1,1,2,0,0,0.107175563,0,0,0,0,0,0,9.330485137,0,0,Sample 8_UrbanPopgen_Plate08_7-3-23_data.csv,urban_093,Ofav,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,0.096800875,0,0,0.903199125,D,A,1,n
28,reps,Sample 1,UrbanPopgen_Plate09_7-5-23_data.csv,19.2100563,25.28147793,24.88463688,22.17199516,NA,0.069988043,0.011859114,NA,1,2,2,1,0,0,0,0,17.46894898,0,0,0.057244428,0,0,0,0,Sample 1_UrbanPopgen_Plate09_7-5-23_data.csv,urban_097,Ofav,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,0,0.945855067,0.054144933,0,B,C,1,y
