,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,Depth,propA,propB,propC,propD,dom,background,totalSym,failed
1,reps,Sample 10,UrbanPopgen_Plate17_7-10-23_data.csv,27.7040329,21.18909932,32.22215557,NA,0.248365642,0.11569276,0.511913603,NA,2,2,2,0,0.001214974,58.55658951,0,823.0627336,48195.74663,0,0.017077497,2.07E-05,0,0,0,0,Sample 10_UrbanPopgen_Plate17_7-10-23_data.csv,nmfs_022,Pseu,Miami reef,Emerald Reef,21-Jan,Winter,Dry,6.4,0.001213475,0.998765802,2.07E-05,0,B,AC,1,n
2,reps,Sample 11,UrbanPopgen_Plate17_7-10-23_data.csv,20.9969492,21.3987608,32.1578722,32.69278717,0.638551053,0.298460375,1.777087808,NA,2,2,2,1,0.146796207,5851.37496,0,6.812165127,39860.53245,0,0.0001709,2.51E-05,0,0,0,0,Sample 11_UrbanPopgen_Plate17_7-10-23_data.csv,nmfs_023,Pseu,Miami reef,Emerald Reef,21-Jan,Winter,Dry,7.6,0.128005487,0.871994513,0,0,B,,1,n
3,reps,Sample 12,UrbanPopgen_Plate17_7-10-23_data.csv,29.35788155,21.76083565,33.66703033,34.3823967,0.772931387,0.235938736,NA,NA,2,2,1,1,0.000573877,0,0,1742.533765,0,0,0,0,0,0,0,0,Sample 12_UrbanPopgen_Plate17_7-10-23_data.csv,nmfs_024,Pseu,Miami reef,Emerald Reef,21-Jan,Winter,Dry,6.7,0.000574,0.999426452,0,0,B,A,1,n
4,reps,Sample 7,UrbanPopgen_Plate17_7-10-23_data.csv,24.77372551,22.55929947,34.03744889,NA,0.284926188,0.225677824,0.458174683,NA,2,2,2,0,0.023941361,1570.883341,0,41.7687204,65613.78703,0,0.000636585,1.52E-05,0,0,0,0,Sample 7_UrbanPopgen_Plate17_7-10-23_data.csv,nmfs_013,Pseu,Miami reef,Emerald Reef,21-Jan,Winter,Dry,6.7,0.023381226,0.97660389,1.49E-05,0,B,AC,1,n
5,reps,Sample 8,UrbanPopgen_Plate17_7-10-23_data.csv,34.42039681,22.20260334,33.15654564,32.86814499,3.554218785,0.61878452,0.716528795,NA,2,2,2,1,2.33E-05,1.064212157,0,42871.11938,45623.96644,0,0.939662259,2.19E-05,0,0,0,0,Sample 8_UrbanPopgen_Plate17_7-10-23_data.csv,nmfs_016,Pseu,Miami reef,Emerald Reef,21-Jan,Winter,Dry,6.7,0,0.999978082,2.19E-05,0,B,C,1,n
6,reps,Sample 9,UrbanPopgen_Plate17_7-10-23_data.csv,26.5978508,22.10145378,33.81944275,33.93398285,0.339855997,0.167713439,NA,NA,2,2,1,1,0.004922742,0,0,203.1388011,0,0,0,0,0,0,0,0,Sample 9_UrbanPopgen_Plate17_7-10-23_data.csv,nmfs_021,Pseu,Miami reef,Emerald Reef,21-Jan,Winter,Dry,6.7,0.004898628,0.995101372,0,0,B,A,1,n
7,reps,Sample 1,UrbanPopgen_Plate18_7-10-23_data.csv,25.38231278,NA,NA,21.81001759,0.213660919,NA,NA,0.161518865,2,0,0,2,0,0,0.028022749,0,0,0,0,0,0,35.68529245,0,0,Sample 1_UrbanPopgen_Plate18_7-10-23_data.csv,OS1 rex,Pseu,Miami reef,Emerald Reef,22-Jun,Summer,Wet,8.2,0.02725888,0,0,0.97274112,D,A,1,n
9,reps,Sample 11,UrbanPopgen_Plate18_7-10-23_data.csv,34.38454437,20.84391785,NA,31.63264275,1.362347987,0.075548731,NA,NA,2,2,0,1,9.32E-06,0,0,107245.049,0,0,0,0,0,0,0,0,Sample 11_UrbanPopgen_Plate18_7-10-23_data.csv,OS9 rex,Pseu,Miami reef,Emerald Reef,22-Jun,Summer,Wet,7,9.32E-06,0.999990676,0,0,B,A,1,n
11,reps,Sample 3,UrbanPopgen_Plate18_7-10-23_data.csv,25.68801117,21.44158554,37.39994049,NA,0.193686687,0.032924447,NA,NA,2,2,1,0,0.005854044,0,0,170.8220771,0,0,0,0,0,0,0,0,Sample 3_UrbanPopgen_Plate18_7-10-23_data.csv,OS21,Pseu,Miami reef,Emerald Reef,22-Jul,Summer,Wet,6.1,0.005819974,0.994180026,0,0,B,A,1,n
12,reps,Sample 4,UrbanPopgen_Plate18_7-10-23_data.csv,23.37711907,22.29077435,34.74839592,NA,0.184199938,0.00098051,1.704952635,NA,2,2,2,0,0.052328121,6769.876544,0,19.11018344,129373.5826,0,0.000147713,7.73E-06,0,0,0,0,Sample 4_UrbanPopgen_Plate18_7-10-23_data.csv,OS22 rex,Pseu,Miami reef,Emerald Reef,22-Jul,Summer,Wet,6.1,0.049726051,0.950273949,0,0,B,A,1,n
