Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate1_6-29-23.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-06-29 21:31:42 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,EXPFAIL,,,,,
A1,Sample 1,A,UNKNOWN,SYBR,None,21.91612816,21.25286102,0.938002706,,,,FALSE,0.1,TRUE,3,17,,N,Y,N,,,,,
A2,Sample 2,A,UNKNOWN,SYBR,None,19.75471115,19.60779381,0.207772493,,,,FALSE,0.1,TRUE,3,16,,N,N,N,,,,,
A3,Sample 3,A,UNKNOWN,SYBR,None,27.82823563,27.3636055,0.657087564,,,,FALSE,0.1,TRUE,3,23,,N,Y,N,,,,,
A4,Sample 4,A,UNKNOWN,SYBR,None,20.52536011,19.96192932,0.796811461,,,,FALSE,0.1,TRUE,3,16,,N,Y,N,,,,,
A5,Sample 5,A,UNKNOWN,SYBR,None,19.65819168,19.48976898,0.238185659,,,,FALSE,0.1,TRUE,3,16,,N,N,N,,,,,
A6,Sample 6,A,UNKNOWN,SYBR,None,20.53131485,20.36836624,0.230445474,,,,FALSE,0.1,TRUE,3,17,,N,N,N,,,,,
A7,Sample 7,A,UNKNOWN,SYBR,None,20.21824265,20.23888397,0.029189896,,,,FALSE,0.1,TRUE,3,17,,N,N,N,,,,,
A8,Sample 8,A,UNKNOWN,SYBR,None,20.19417572,20.15039825,0.061912034,,,,FALSE,0.1,TRUE,3,17,,N,N,N,,,,,
A9,Sample 9,A,UNKNOWN,SYBR,None,20.51960373,20.42938042,0.127595037,,,,FALSE,0.1,TRUE,3,17,,Y,N,N,,,,,
A10,Sample 10,A,UNKNOWN,SYBR,None,21.392519,21.15741158,0.332492113,,,,FALSE,0.1,TRUE,3,18,,N,N,N,,,,,
