Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate15_7-7-23.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-07 11:57:54 AM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,31.58843422,30.45090485,1.608708143,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,31.17097473,30.77962685,0.553449512,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,27.35443497,27.30391502,0.071445987,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,28.62682152,28.6548233,0.039601855,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,29.86675453,29.33459473,0.752588987,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,29.00557518,29.50441551,0.705466747,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,27.76317978,27.60112762,0.229176357,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,28.73599052,28.48944092,0.348675132,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,27.59943771,27.52883148,0.099853642,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,26.29429817,25.89907646,0.558927894,,,,FALSE,0.1,TRUE,3,22,,N,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,25.00941658,24.84149933,0.237469509,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,31.4107666,33.55218125,3.028417634,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,29.31337738,30.45090485,1.608708143,,,,FALSE,0.1,TRUE,3,25,,N,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,30.38827896,30.77962685,0.553449512,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,27.25339508,27.30391502,0.071445987,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,28.682827,28.6548233,0.039601855,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,28.80243301,29.33459473,0.752588987,,,,FALSE,0.1,TRUE,3,25,,N,Y,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,30.00325584,29.50441551,0.705466747,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,27.43907547,27.60112762,0.229176357,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,28.2428894,28.48944092,0.348675132,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,27.45822334,27.52883148,0.099853642,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,25.50385475,25.89907646,0.558927894,,,,FALSE,0.1,TRUE,3,22,,N,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,24.67358398,24.84149933,0.237469509,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,35.69359589,33.55218125,3.028417634,,,,FALSE,0.1,TRUE,3,31,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,31.32387733,30.85861206,0.657983124,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,39.50046158,39.50046158,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,28.354599,28.03407669,0.453288347,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,32.62798309,36.30500793,5.200098515,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,32.26917267,32.26917267,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,21.33192825,21.37629509,0.062744185,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,20.93694878,21.13582611,0.281255037,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,26.89434624,27.05514336,0.227401465,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,20.94610214,21.35396957,0.5768103,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,21.29271698,21.26027584,0.0458787,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,30.39334869,30.85861206,0.657983124,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,37,,N,N,N,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,39.50046158,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,27.71355247,28.03407669,0.453288347,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,39.98203278,36.30500793,5.200098515,,,,FALSE,0.1,TRUE,3,37,,N,Y,N,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,32.26917267,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
D8,Sample 8,B,UNKNOWN,SYBR,None,21.42066193,21.37629509,0.062744185,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,21.33470345,21.13582611,0.281255037,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,27.21594048,27.05514336,0.227401465,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,21.7618351,21.35396957,0.5768103,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
