Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate16_7-7-23.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-07 15:59:29 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,24.73272514,24.11175728,0.878181159,,,,FALSE,0.1,TRUE,3,21,,N,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,30.78977013,31.32516861,0.757167816,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,29.97361565,30.64437103,0.948592722,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,33.09019852,32.38144302,1.002331614,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,21.36708069,21.17581558,0.270491064,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,29.49440956,29.08353424,0.581064105,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,27.23422813,27.3096962,0.106729306,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,31.37296104,30.09916878,1.801414251,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,32.1634407,32.41207504,0.351622045,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,31.63335609,31.92266083,0.409140021,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,22.66167641,22.23390961,0.604952276,,,,FALSE,0.1,TRUE,3,19,,N,Y,N,N
A12,,A,NTC,SYBR,None,35.87097168,35.87097168,,,,,FALSE,0.1,TRUE,3,31,,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,23.49078941,24.11175728,0.878181159,,,,FALSE,0.1,TRUE,3,21,,N,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,31.86056709,31.32516861,0.757167816,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,31.31512833,30.64437103,0.948592722,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,31.67268753,32.38144302,1.002331614,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,20.98454857,21.17581558,0.270491064,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,28.67266083,29.08353424,0.581064105,,,,FALSE,0.1,TRUE,3,25,,N,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,27.38516617,27.3096962,0.106729306,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,28.82537651,30.09916878,1.801414251,,,,FALSE,0.1,TRUE,3,25,,N,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,32.66070938,32.41207504,0.351622045,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,32.21196747,31.92266083,0.409140021,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,21.80614471,22.23390961,0.604952276,,,,FALSE,0.1,TRUE,3,17,,N,Y,N,N
B12,,A,NTC,SYBR,None,Undetermined,35.87097168,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,23.70981026,23.5512886,0.22418347,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,26.91491699,26.82379913,0.128861457,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,26.24803734,25.39476776,1.206704021,,,,FALSE,0.1,TRUE,3,22,,N,Y,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,32.57805634,33.00778198,0.607726514,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,31.13539505,30.51818085,0.872874022,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,32.50455093,32.50455093,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
