Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate25_7-11-23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-11 16:21:42 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,33.20664597,34.06194305,1.20957005,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,28.83901978,28.90224838,0.089418754,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,28.78454399,28.72509003,0.084080599,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,29.24061012,29.54986572,0.437353462,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,29.47767448,29.92989349,0.639535606,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,28.57606125,28.91536713,0.479849637,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,25.41115379,25.31330872,0.138375178,,,,FALSE,0.1,TRUE,3,22,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A9,Sample 9,A,UNKNOWN,SYBR,None,30.26354218,32.79650497,3.582150459,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,36.72073746,35.48097229,1.753290057,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,27.4702549,27.07495689,0.559035778,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,29.72272491,29.18124771,0.765765727,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,34.91723633,34.06194305,1.20957005,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,28.96547699,28.90224838,0.089418754,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,28.66563606,28.72509003,0.084080599,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,29.85912132,29.54986572,0.437353462,,,,FALSE,0.1,TRUE,3,26,,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,30.38211441,29.92989349,0.639535606,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,29.2546711,28.91536713,0.479849637,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,25.21546173,25.31330872,0.138375178,,,,FALSE,0.1,TRUE,3,21,,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B9,Sample 9,A,UNKNOWN,SYBR,None,35.32946777,32.79650497,3.582150459,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,34.24121094,35.48097229,1.753290057,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,26.67965889,27.07495689,0.559035778,,,,FALSE,0.1,TRUE,3,22,,Y,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,28.6397686,29.18124771,0.765765727,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,36.90515518,35.60625458,1.836922884,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,32.91199112,32.91199112,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,32.86036682,,,,,FALSE,0.1,TRUE,3,38,,N,N,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,31.24493599,31.24493599,,,,,FALSE,0.1,TRUE,3,27,,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,30.9944191,31.94748306,1.347836018,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,20.69460487,20.82118225,0.179008797,,,,FALSE,0.1,TRUE,3,17,,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,33.71690369,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,30.21214676,29.5434761,0.945641756,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,20.98838997,20.95295143,0.05011766,,,,FALSE,0.1,TRUE,3,17,,N,N,N
