Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate27_7-13-23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,28.81886101,28.25473213,0.797798693,,,,FALSE,0.1,TRUE,3,24,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,22.41769981,21.59544373,1.162844419,,,,FALSE,0.1,TRUE,3,18,,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,27.74057961,27.70838547,0.045529384,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,22.91926765,22.74631119,0.244597375,,,,FALSE,0.1,TRUE,3,18,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,27.61767578,27.4381752,0.2538535,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,26.43279839,26.08138084,0.496979445,,,,FALSE,0.1,TRUE,3,22,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,28.79246902,28.74837875,0.062351711,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,28.38648415,28.1295166,0.363405645,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,25.81093597,25.63879395,0.24344559,,,,FALSE,0.1,TRUE,3,23,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,30.35372734,29.31231689,1.472776771,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,30.3597393,30.48038101,0.170614496,,,,FALSE,0.1,TRUE,3,26,,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,35.98385239,36.10261536,0.1679589,,,,FALSE,0.1,TRUE,3,32,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,27.69060326,28.25473213,0.797798693,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,20.77318954,21.59544373,1.162844419,,,,FALSE,0.1,TRUE,3,17,,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,27.67619133,27.70838547,0.045529384,,,,FALSE,0.1,TRUE,3,24,,N,N,N
