Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate30_7-13-23.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-13 19:56:43 PM EDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,28.83181763,29.10678291,0.38885963,,,,FALSE,0.1,TRUE,3,25,,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,27.57300949,27.53232002,0.057543598,,,,FALSE,0.1,TRUE,3,23,,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,27.51327515,27.07912064,0.613985837,,,,FALSE,0.1,TRUE,3,25,,Y,N
A4,Sample 4,A,UNKNOWN,SYBR,None,25.50877571,25.44279861,0.093307056,,,,FALSE,0.1,TRUE,3,22,,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,26.45764351,26.37157822,0.121714704,,,,FALSE,0.1,TRUE,3,23,,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,28.1601963,27.94006729,0.311310798,,,,FALSE,0.1,TRUE,3,26,,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,24.7245388,24.81108284,0.122391753,,,,FALSE,0.1,TRUE,3,22,,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,26.37424278,26.7822361,0.57698971,,,,FALSE,0.1,TRUE,3,23,,Y,N
A9,Sample 9,A,UNKNOWN,SYBR,None,28.54550934,28.91730881,0.525802493,,,,FALSE,0.1,TRUE,3,25,,Y,N
A10,Sample 10,A,UNKNOWN,SYBR,None,27.22292137,27.21609879,0.009649943,,,,FALSE,0.1,TRUE,3,24,,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,28.50158691,29.12544632,0.882270455,,,,FALSE,0.1,TRUE,3,25,,Y,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,29.3817482,29.10678291,0.38885963,,,,FALSE,0.1,TRUE,3,26,,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,27.49163055,27.53232002,0.057543598,,,,FALSE,0.1,TRUE,3,23,,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,26.64496803,27.07912064,0.613985837,,,,FALSE,0.1,TRUE,3,24,,Y,N
B4,Sample 4,A,UNKNOWN,SYBR,None,25.37681961,25.44279861,0.093307056,,,,FALSE,0.1,TRUE,3,22,,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,26.28551292,26.37157822,0.121714704,,,,FALSE,0.1,TRUE,3,23,,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,27.71993637,27.94006729,0.311310798,,,,FALSE,0.1,TRUE,3,25,,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,24.89762688,24.81108284,0.122391753,,,,FALSE,0.1,TRUE,3,22,,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,27.19022942,26.7822361,0.57698971,,,,FALSE,0.1,TRUE,3,24,,Y,N
B9,Sample 9,A,UNKNOWN,SYBR,None,29.28910637,28.91730881,0.525802493,,,,FALSE,0.1,TRUE,3,26,,Y,N
B10,Sample 10,A,UNKNOWN,SYBR,None,27.20927429,27.21609879,0.009649943,,,,FALSE,0.1,TRUE,3,23,,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,29.74930573,29.12544632,0.882270455,,,,FALSE,0.1,TRUE,3,26,,Y,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,30.50735283,31.11711121,0.862327218,,,,FALSE,0.1,TRUE,3,27,,Y,N
