Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate33_7-17-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-17 14:59:07 PM PDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,27.1873951,26.89641953,0.411501586,,,,FALSE,0.1,TRUE,3,22,82.69944763,87.62787628,,,N,N,N,Y
A2,Sample 2,A,UNKNOWN,SYBR,None,29.3371067,28.97834015,0.507373869,,,,FALSE,0.1,TRUE,3,25,84.79029846,,,,Y,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,26.27501297,26.05497932,0.311174572,,,,FALSE,0.1,TRUE,3,22,87.331604,,,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,36.79759216,36.12148285,0.956160247,,,,FALSE,0.1,TRUE,3,33,86.73420715,82.40311432,61.49438095,,Y,N,N,Y
A5,Sample 5,A,UNKNOWN,SYBR,None,17.31095505,17.09612656,0.303813368,,,,FALSE,0.1,TRUE,3,14,84.49360657,,,,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,19.72719383,19.59187698,0.191366926,,,,FALSE,0.1,TRUE,3,16,84.34427643,,,,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,31.54615974,34.83831406,4.655807972,,,,FALSE,0.1,TRUE,3,28,84.4952774,,,,Y,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,34.41205978,33.71086884,0.991636455,,,,FALSE,0.1,TRUE,3,31,83.30068207,,,,Y,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,33.18374634,33.04069901,0.202299476,,,,FALSE,0.1,TRUE,3,30,85.68816376,,,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,38.67873383,36.92695618,2.477387667,,,,FALSE,0.1,TRUE,3,35,82.40206909,78.21977234,61.4905777,,Y,N,N,Y
