Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 20:22:23 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,+++,A,UNKNOWN,FAM,NFQ-MGB,32.72891998,32.72891998,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
A2,+++,B,UNKNOWN,FAM,NFQ-MGB,34.60838318,34.60838318,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
A3,+++,C,UNKNOWN,VIC,NFQ-MGB,34.67573166,34.67573166,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
A3,+++,D,UNKNOWN,FAM,NFQ-MGB,31.79156303,31.79156303,,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
A4,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.79307175,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
A5,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,32.52935028,32.77779388,0.351352304,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
A6,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,35.42137909,35.5393219,0.166796327,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,N
A6,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,22.7095356,23.08547211,0.531654537,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
A7,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,38.79307175,38.79307175,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
A8,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,33.02623749,32.77779388,0.351352304,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
A9,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,35.65726471,35.5393219,0.166796327,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,N
A9,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,23.46140862,23.08547211,0.531654537,,,,FALSE,0.1,TRUE,3,19,,N,Y,N,N
A10,,A,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
A11,,B,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
A12,,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
