Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate40_1-16-24.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-16 19:16:13 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,21.74165726,24.8121376,4.342316151,,,,FALSE,0.01,TRUE,3,19,83.15125275,,,,Y,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,20.56519508,23.04310799,3.504297972,,,,FALSE,0.01,TRUE,3,18,82.85256958,,,,Y,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,20.86182976,21.79588699,1.320956469,,,,FALSE,0.01,TRUE,3,19,83.00398254,,,,Y,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,20.80821991,19.52488899,1.814903975,,,,FALSE,0.01,TRUE,3,20,83.00398254,,,,Y,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,21.22426414,21.31616974,0.129975483,,,,FALSE,0.01,TRUE,3,19,83.00188446,,,,N,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,19.9466877,18.92166519,1.449602127,,,,FALSE,0.01,TRUE,3,19,84.19677734,,,,Y,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,21.75491905,20.78816605,1.36719656,,,,FALSE,0.01,TRUE,3,18,82.70385742,,,,Y,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,19.18035698,17.72613525,2.056581497,,,,FALSE,0.01,TRUE,3,17,83.00254059,,,,Y,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,20.03522873,19.21712112,1.156978846,,,,FALSE,0.01,TRUE,3,18,82.55527496,,,,Y,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,20.15769768,19.74448776,0.584367037,,,,FALSE,0.01,TRUE,3,17,82.55527496,,,,Y,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,16.46458435,15.44344521,1.444109559,,,,FALSE,0.01,TRUE,3,14,87.03362274,,,,Y,N,Y,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,18.46128464,18.02884293,0.611566305,,,,FALSE,0.01,TRUE,3,15,87.03362274,,,,Y,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,27.88261986,24.8121376,4.342316151,,,,FALSE,0.01,TRUE,3,26,83.00190735,,,,Y,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,25.52102089,23.04310799,3.504297972,,,,FALSE,0.01,TRUE,3,24,82.55388641,,,,Y,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,22.72994423,21.79588699,1.320956469,,,,FALSE,0.01,TRUE,3,22,82.85462189,,,,Y,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,18.24155807,19.52488899,1.814903975,,,,FALSE,0.01,TRUE,3,18,82.85462189,,,,Y,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,21.40807724,21.31616974,0.129975483,,,,FALSE,0.01,TRUE,3,19,82.8525238,,,,N,N,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,17.89664078,18.92166519,1.449602127,,,,FALSE,0.01,TRUE,3,17,83.74868774,,,,Y,N,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,19.82141113,20.78816605,1.36719656,,,,FALSE,0.01,TRUE,3,18,82.70385742,,,,Y,N,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,16.27191162,17.72613525,2.056581497,,,,FALSE,0.01,TRUE,3,16,83.00254059,,,,Y,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,18.39901352,19.21712112,1.156978846,,,,FALSE,0.01,TRUE,3,19,82.55527496,,,,Y,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,19.33127785,19.74448776,0.584367037,,,,FALSE,0.01,TRUE,3,18,82.55527496,,,,Y,N,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,14.42230511,15.44344521,1.444109559,,,,FALSE,0.01,TRUE,3,13,86.88426971,,,,Y,N,N,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,17.59639931,18.02884293,0.611566305,,,,FALSE,0.01,TRUE,3,15,86.88426971,,,,Y,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,32.66849136,33.26652908,0.845753074,,,,FALSE,0.1,TRUE,3,29,79.41770935,,,,Y,N,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,31.74680138,31.74680138,,,,,FALSE,0.1,TRUE,3,28,78.82034302,,,,N,N,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49600983,,,,N,N,N,Y,N
C4,Sample 4,B,UNKNOWN,SYBR,None,32.32758713,31.46337891,1.222175002,,,,FALSE,0.1,TRUE,3,29,79.2699585,,,,Y,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,32.01807022,32.37503052,0.5048154,,,,FALSE,0.1,TRUE,3,28,78.9691391,,,,Y,N,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,33.09186554,32.98900223,0.145470694,,,,FALSE,0.1,TRUE,3,29,78.81977844,,,,N,N,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,32.76570892,32.0146637,1.062138319,,,,FALSE,0.1,TRUE,3,28,79.26894379,,,,Y,N,N,N,N
