Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate41_1-17-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-17 12:33:01 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,21.3083992,21.25188828,0.079919867,,,,FALSE,0.1,TRUE,3,17,84.04670715,,,,N,N,N,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,21.21175957,20.79340744,0.59163928,,,,FALSE,0.1,TRUE,3,17,83.44936371,,,,N,Y,N,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,20.22103119,20.09143448,0.183278769,,,,FALSE,0.1,TRUE,3,16,86.13632965,,,,N,N,N,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,22.15634727,21.37107468,1.110544562,,,,FALSE,0.1,TRUE,3,18,83.29891968,,,,N,Y,N,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,21.18132782,21.02578545,0.219970137,,,,FALSE,0.1,TRUE,3,18,83.14738464,,,,N,N,N,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,22.49557114,21.81129646,0.967710495,,,,FALSE,0.1,TRUE,3,18,83.14738464,,,,N,Y,N,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,21.66687393,21.50577164,0.227831706,,,,FALSE,0.1,TRUE,3,17,83.59420776,,,,Y,N,N,Y,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,22.18580055,21.88738251,0.422028184,,,,FALSE,0.1,TRUE,3,18,83.44487,,,,N,N,N,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,21.97229767,21.62082672,0.497053623,,,,FALSE,0.1,TRUE,3,18,82.85066986,,,,N,N,N,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,22.98356247,22.1717701,1.148047805,,,,FALSE,0.1,TRUE,3,19,82.85066986,,,,N,Y,N,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,20.88393021,20.55064201,0.471340686,,,,FALSE,0.1,TRUE,3,17,83.29971313,61.34327316,,,N,N,N,N,N,N,Y
A12,Sample 12,A,UNKNOWN,SYBR,None,21.49427032,20.86505127,0.889851451,,,,FALSE,0.1,TRUE,3,16,,,,,Y,Y,N,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,21.19537544,21.25188828,0.079919867,,,,FALSE,0.1,TRUE,3,17,83.74803162,,,,N,N,N,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,20.37505531,20.79340744,0.59163928,,,,FALSE,0.1,TRUE,3,17,83.30002594,,,,N,Y,N,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,19.96183586,20.09143448,0.183278769,,,,FALSE,0.1,TRUE,3,16,86.13632965,83.44825745,62.09302139,,N,N,N,N,N,N,Y
B4,Sample 4,A,UNKNOWN,SYBR,None,20.58580017,21.37107468,1.110544562,,,,FALSE,0.1,TRUE,3,17,83.14958191,,,,N,Y,N,N,N,N,N
