Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate44_1-18-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-18 17:48:52 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,SPIKE,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,35.59024048,35.97954559,0.550560594,,,,FALSE,0.1,TRUE,3,31,83.30085754,,,,Y,N,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,30.41859627,29.87625694,0.766983628,,,,FALSE,0.1,TRUE,3,26,85.54161072,,,,Y,N,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,23.93061256,24.42085266,0.69330287,,,,FALSE,0.1,TRUE,3,21,84.19906616,,,,Y,N,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,25.61206818,,,,,FALSE,0.1,TRUE,3,39,78.52297974,,,,N,N,N,N,Y,N
A5,Sample 5,A,UNKNOWN,SYBR,None,26.74298286,26.97903252,0.333824605,,,,FALSE,0.1,TRUE,3,24,85.09017944,,,,N,N,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,21.93633652,21.8825531,0.076062582,,,,FALSE,0.1,TRUE,3,18,84.49285126,,,,N,N,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,Undetermined,36.19822311,,,,,FALSE,0.1,TRUE,3,38,82.55475616,,,,N,N,N,N,Y,N
A8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,36.79209137,,,,,FALSE,0.1,TRUE,3,38,,,,,N,N,N,N,Y,N
A9,Sample 9,A,UNKNOWN,SYBR,None,34.16186142,34.03944397,0.173121721,,,,FALSE,0.1,TRUE,3,31,81.95658875,,,,N,N,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,30.68729591,30.45293427,0.331436068,,,,FALSE,0.1,TRUE,3,26,85.54067993,,,,N,N,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,13.81561279,14.24775314,0.611139417,,,,FALSE,0.1,TRUE,3,10,84.49703979,,,,Y,N,Y,Y,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,29.3083992,28.32754135,1.38714242,,,,FALSE,0.1,TRUE,3,25,85.39316559,,,,Y,N,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,36.36885071,35.97954559,0.550560594,,,,FALSE,0.1,TRUE,3,32,83.30085754,,,,Y,N,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,29.33391762,29.87625694,0.766983628,,,,FALSE,0.1,TRUE,3,25,85.09346008,,,,Y,N,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,24.91109085,24.42085266,0.69330287,,,,FALSE,0.1,TRUE,3,22,84.19906616,,,,Y,N,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,25.61206818,25.61206818,,,,,FALSE,0.1,TRUE,3,22,86.29026031,,,,N,N,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,27.21508217,26.97903252,0.333824605,,,,FALSE,0.1,TRUE,3,24,84.9408493,,,,N,N,N,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,21.82876778,21.8825531,0.076062582,,,,FALSE,0.1,TRUE,3,18,84.34352112,,,,N,N,N,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,36.19822311,36.19822311,,,,,FALSE,0.1,TRUE,3,31,86.28845978,83.15215302,,,N,N,N,N,N,Y
B8,Sample 8,A,UNKNOWN,SYBR,None,36.79209137,36.79209137,,,,,FALSE,0.1,TRUE,3,33,81.95736694,,,,N,N,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,33.91703033,34.03944397,0.173121721,,,,FALSE,0.1,TRUE,3,30,81.95658875,,,,N,N,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,30.21857452,30.45293427,0.331436068,,,,FALSE,0.1,TRUE,3,26,85.09266663,,,,N,N,N,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,14.67989445,14.24775314,0.611139417,,,,FALSE,0.1,TRUE,3,12,84.34767914,,,,Y,N,N,N,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,27.3466835,28.32754135,1.38714242,,,,FALSE,0.1,TRUE,3,24,85.0944519,88.38024902,,,Y,N,N,N,N,Y
C1,Sample 1,B,UNKNOWN,SYBR,None,22.69008255,22.72946548,0.05569588,,,,FALSE,0.1,TRUE,3,19,79.41687775,,,,N,N,N,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,27.17127991,27.35884476,0.265255392,,,,FALSE,0.1,TRUE,3,23,79.2674942,,,,N,N,N,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,28.44819832,28.78791618,0.480433613,,,,FALSE,0.1,TRUE,3,25,79.26983643,,,,N,N,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,21.86971283,21.81059074,0.083611257,,,,FALSE,0.1,TRUE,3,18,79.26983643,,,,N,N,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,24.64949799,24.7141037,0.091367625,,,,FALSE,0.1,TRUE,3,21,79.26620483,,,,N,N,N,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,21.21469688,21.10565948,0.154200822,,,,FALSE,0.1,TRUE,3,18,79.26620483,,,,N,N,N,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,33.70686722,32.1999588,2.131093025,,,,FALSE,0.1,TRUE,3,29,79.269104,,,,Y,N,N,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,29.33523941,29.49179077,0.221398413,,,,FALSE,0.1,TRUE,3,26,79.4184494,,,,N,N,N,N,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,22.13184929,22.17392349,0.05950056,,,,FALSE,0.1,TRUE,3,17,78.67116547,,,,N,N,N,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,23.7441864,23.5403595,0.288253427,,,,FALSE,0.1,TRUE,3,20,79.11917877,,,,N,N,N,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,20.06472588,20.25772476,0.27294299,,,,FALSE,0.1,TRUE,3,17,79.12026978,,,,N,N,N,N,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,21.35643578,21.39776993,0.05845397,,,,FALSE,0.1,TRUE,3,17,78.82156372,,,,N,N,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,22.76884842,22.72946548,0.05569588,,,,FALSE,0.1,TRUE,3,19,79.2674942,,,,N,N,N,N,N,N
