Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate4_6-30-23.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-06-30 17:05:28 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,22.35419655,21.5948143,1.073930025,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,22.5974865,21.40739441,1.683044314,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,27.77770233,25.34542465,3.43975997,,,,FALSE,0.1,TRUE,3,24,,N,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,26.1758728,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
A5,Sample 5,A,UNKNOWN,SYBR,None,23.40486336,21.68590546,2.430972338,,,,FALSE,0.1,TRUE,3,20,,N,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,23.66246223,21.55422592,2.981495142,,,,FALSE,0.1,TRUE,3,20,,N,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,30.31464005,24.97176933,7.555960178,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,23.28943253,21.42833328,2.631993055,,,,FALSE,0.1,TRUE,3,19,,N,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,32.56438828,30.97127151,2.253008604,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,22.41667938,20.95585632,2.065915823,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,30.96299171,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,22.71967316,22.71967316,,,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,20.83543015,21.5948143,1.073930025,,,,FALSE,0.1,TRUE,3,17,,N,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,20.21730232,21.40739441,1.683044314,,,,FALSE,0.1,TRUE,3,16,,N,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,22.91314697,25.34542465,3.43975997,,,,FALSE,0.1,TRUE,3,19,,N,Y,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,26.1758728,26.1758728,,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,19.96694946,21.68590546,2.430972338,,,,FALSE,0.1,TRUE,3,17,,N,Y,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,19.44599152,21.55422592,2.981495142,,,,FALSE,0.1,TRUE,3,16,,N,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,19.62889862,24.97176933,7.555960178,,,,FALSE,0.1,TRUE,3,16,,N,Y,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,19.56723213,21.42833328,2.631993055,,,,FALSE,0.1,TRUE,3,16,,N,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,29.37815285,30.97127151,2.253008604,,,,FALSE,0.1,TRUE,3,25,,N,Y,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,19.49503326,20.95585632,2.065915823,,,,FALSE,0.1,TRUE,3,14,,N,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,30.96299171,30.96299171,,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,32.66392136,32.1402092,0.740639508,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,36.00469208,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,30.71987724,30.72720718,0.010366102,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,28.39775467,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,32.62858963,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,28.45391273,29.15493393,0.991393685,,,,FALSE,0.1,TRUE,3,24,,N,Y,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,34.85452652,34.13652802,1.015403271,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,34.00242233,33.35905457,0.909859419,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D1,Sample 1,B,UNKNOWN,SYBR,None,31.61649895,32.1402092,0.740639508,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,36.00469208,36.00469208,,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,30.73453712,30.72720718,0.010366102,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,28.39775467,28.39775467,,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,32.62858963,32.62858963,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,29.85595512,29.15493393,0.991393685,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,33.41852951,34.13652802,1.015403271,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,32.7156868,33.35905457,0.909859419,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,32.01247406,32.18673706,0.246445104,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,23.26202011,23.32327271,0.086622901,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,28.59669495,28.4221611,0.246828124,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,27.62943649,27.39712524,0.328537732,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,19.55651283,19.46757889,0.125771597,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,27.31092262,26.93352127,0.533727467,,,,FALSE,0.1,TRUE,3,24,,N,Y,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,34.15843582,32.9228096,1.747439384,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,32.36100006,32.18673706,0.246445104,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,23.38452339,23.32327271,0.086622901,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,28.24762726,28.4221611,0.246828124,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,27.164814,27.39712524,0.328537732,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,19.37864494,19.46757889,0.125771597,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,26.55611801,26.93352127,0.533727467,,,,FALSE,0.1,TRUE,3,23,,N,Y,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,31.68718338,32.9228096,1.747439384,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,20.80318832,21.12537193,0.455636442,,,,FALSE,0.1,TRUE,3,17,,Y,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,21.47842789,21.62401962,0.205897808,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,20.58899117,20.61559677,0.037626009,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,27.6909008,27.66944122,0.030347079,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,21.6082058,21.53604507,0.102052018,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,20.64559364,20.80646515,0.227506667,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G8,Sample 8,D,UNKNOWN,SYBR,None,21.26709175,21.29322624,0.036959752,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,22.82441139,22.82356262,0.001200342,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,22.39861679,22.49895287,0.141896635,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
