Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate51_1-22-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-22 15:29:32 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,32.81980515,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A2,Sample 2,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,34.29936218,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A4,Sample 4,A,UNKNOWN,SYBR,None,33.35263443,32.28018951,1.516664743,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,35.44485855,35.53965759,0.134063393,,,,FALSE,0.1,TRUE,3,32,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,39.49440765,36.19195557,4.670369625,,,,FALSE,0.1,TRUE,3,35,,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,36.16181946,36.16181946,,,,,FALSE,0.1,TRUE,3,32,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,36.67335892,36.2317009,0.624598742,,,,FALSE,0.1,TRUE,3,34,,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,33.6370163,33.3260498,0.439770341,,,,FALSE,0.1,TRUE,3,31,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,34.62130356,35.48889923,1.226962924,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,36.79840088,,,,,FALSE,0.1,TRUE,3,37,,N,N,Y
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,32.81980515,32.81980515,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,4,,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,34.29936218,34.29936218,,,,,FALSE,0.1,TRUE,3,30,,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,31.20774651,32.28018951,1.516664743,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,35.63445282,35.53965759,0.134063393,,,,FALSE,0.1,TRUE,3,32,,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,32.88950729,36.19195557,4.670369625,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,Undetermined,36.16181946,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B8,Sample 8,A,UNKNOWN,SYBR,None,35.79004288,36.2317009,0.624598742,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,33.01508713,33.3260498,0.439770341,,,,FALSE,0.1,TRUE,3,30,,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,36.35649109,35.48889923,1.226962924,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,36.79840088,36.79840088,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,33.4416275,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,23.89548111,23.88750648,0.011277822,,,,FALSE,0.1,TRUE,3,20,,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,25.27887535,25.38972282,0.156762004,,,,FALSE,0.1,TRUE,3,21,,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,25.34272766,25.32207489,0.029208777,,,,FALSE,0.1,TRUE,3,22,,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,36.8062706,36.1266861,0.961077631,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,39.45946884,,,,,FALSE,0.1,TRUE,3,38,,N,N,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,39.03970718,37.77468872,1.789003611,,,,FALSE,0.1,TRUE,3,35,,Y,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,33.60297775,34.47141266,1.228152394,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,33.17796326,33.54132843,0.513873279,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,36.59220886,35.8861618,0.998498619,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,38.28135681,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,33.4416275,33.4416275,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,23.87953186,23.88750648,0.011277822,,,,FALSE,0.1,TRUE,3,20,,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,25.5005703,25.38972282,0.156762004,,,,FALSE,0.1,TRUE,3,21,,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,25.30142021,25.32207489,0.029208777,,,,FALSE,0.1,TRUE,3,21,,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,35.44710159,36.1266861,0.961077631,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,39.45946884,39.45946884,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,36.50967407,37.77468872,1.789003611,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,35.33984756,34.47141266,1.228152394,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,33.90468979,33.54132843,0.513873279,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,35.18011856,35.8861618,0.998498619,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,38.28135681,38.28135681,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,35.42405701,35.42405701,,,,,FALSE,0.1,TRUE,3,32,,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,34.2190361,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,35.42405701,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F8,Sample 8,C,UNKNOWN,SYBR,None,34.2190361,34.2190361,,,,,FALSE,0.1,TRUE,3,31,,N,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,28.68771744,28.01942444,0.94510901,,,,FALSE,0.1,TRUE,3,24,,Y,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,27.32152748,27.26044083,0.086389579,,,,FALSE,0.1,TRUE,3,23,,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,30.16901016,30.28119659,0.158654228,,,,FALSE,0.1,TRUE,3,26,,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,32.52864075,32.59828949,0.098500893,,,,FALSE,0.1,TRUE,3,28,,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,22.16322136,21.94315338,0.311223119,,,,FALSE,0.1,TRUE,3,19,,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,22.58503342,22.28363991,0.426234782,,,,FALSE,0.1,TRUE,3,19,,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,23.6988945,23.58127213,0.166344509,,,,FALSE,0.1,TRUE,3,20,,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,21.40920639,21.78160477,0.526650846,,,,FALSE,0.1,TRUE,3,18,,Y,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,20.88611412,20.63307953,0.35784629,,,,FALSE,0.1,TRUE,3,18,,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,23.28835487,22.94960022,0.479070067,,,,FALSE,0.1,TRUE,3,20,,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,22.84670448,22.42987823,0.589482665,,,,FALSE,0.1,TRUE,3,20,,Y,N,N
G12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,27.35113144,28.01942444,0.94510901,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,27.19935417,27.26044083,0.086389579,,,,FALSE,0.1,TRUE,3,23,,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,30.39338112,30.28119659,0.158654228,,,,FALSE,0.1,TRUE,3,26,,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,32.66794205,32.59828949,0.098500893,,,,FALSE,0.1,TRUE,3,28,,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,21.7230854,21.94315338,0.311223119,,,,FALSE,0.1,TRUE,3,19,,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,21.9822464,22.28363991,0.426234782,,,,FALSE,0.1,TRUE,3,18,,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,23.46364784,23.58127213,0.166344509,,,,FALSE,0.1,TRUE,3,20,,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,22.15400314,21.78160477,0.526650846,,,,FALSE,0.1,TRUE,3,19,,Y,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,20.38004303,20.63307953,0.35784629,,,,FALSE,0.1,TRUE,3,17,,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,22.61084747,22.94960022,0.479070067,,,,FALSE,0.1,TRUE,3,19,,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,22.01305008,22.42987823,0.589482665,,,,FALSE,0.1,TRUE,3,19,,Y,N,N
H12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
