Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate53_1-23-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-23 16:06:42 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,32.79216003,32.29867935,0.6978857517,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,31.46731377,31.16824722,0.4229453206,,,,FALSE,0.1,TRUE,3,27,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,25.01807594,25.15501785,0.1936664581,,,,FALSE,0.1,TRUE,3,22,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,29.30033302,30.46311378,1.644420266,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,29.76852798,30.0128746,0.3455569446,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,27.84448433,27.78726959,0.08091250807,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,23.5475502,23.25697708,0.4109324515,,,,FALSE,0.1,TRUE,3,21,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,25.72455025,26.49956703,1.096039295,,,,FALSE,0.1,TRUE,3,22,,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,19.19313622,19.30501175,0.1582145542,,,,FALSE,0.1,TRUE,3,16,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,20.36519432,20.12905884,0.3339459896,,,,FALSE,0.1,TRUE,3,16,,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,24.83001518,24.63578033,0.2746882141,,,,FALSE,0.1,TRUE,3,21,,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,30.57138062,30.12065315,0.6374248862,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,31.80520058,32.29867935,0.6978857517,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,30.86917877,31.16824722,0.4229453206,,,,FALSE,0.1,TRUE,3,27,,N,N,N
