Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate58-1-24-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-24 16:51:37 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A2,Sample 2,A,UNKNOWN,SYBR,None,35.62917328,35.36833954,0.368877321,,,,FALSE,0.1,TRUE,3,32,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,22.58347702,22.47107315,0.158964425,,,,FALSE,0.1,TRUE,3,19,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,26.67696571,28.13054466,2.055670977,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,28.64889336,28.67417908,0.035760757,,,,FALSE,0.1,TRUE,3,23,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,24.84454346,24.85892105,0.020334337,,,,FALSE,0.1,TRUE,3,22,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,23.44362259,22.89704704,0.772974551,,,,FALSE,0.1,TRUE,3,20,,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,23.72835541,23.66765594,0.085842006,,,,FALSE,0.1,TRUE,3,21,,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,22.42776299,22.11714935,0.439274013,,,,FALSE,0.1,TRUE,3,19,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,26.15667534,26.22281075,0.093529589,,,,FALSE,0.1,TRUE,3,22,,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,20.75285912,20.36429977,0.54950726,,,,FALSE,0.1,TRUE,3,18,,Y,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B2,Sample 2,A,UNKNOWN,SYBR,None,35.10750198,35.36833954,0.368877321,,,,FALSE,0.1,TRUE,3,31,,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,22.35866737,22.47107315,0.158964425,,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,29.58412361,28.13054466,2.055670977,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,28.69946671,28.67417908,0.035760757,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,24.87330055,24.85892105,0.020334337,,,,FALSE,0.1,TRUE,3,22,,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,22.3504715,22.89704704,0.772974551,,,,FALSE,0.1,TRUE,3,18,,Y,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,23.60695648,23.66765594,0.085842006,,,,FALSE,0.1,TRUE,3,20,,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,21.80653572,22.11714935,0.439274013,,,,FALSE,0.1,TRUE,3,18,,N,N,N
