Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate5_6-30-23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-06-30 19:05:02 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,22.96465874,22.2297821,1.039273858,,,,FALSE,0.1,TRUE,3,16,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,21.20009804,20.80216789,0.562758207,,,,FALSE,0.1,TRUE,3,17,,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,21.39906311,20.94876862,0.636813939,,,,FALSE,0.1,TRUE,3,17,,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,21.71499252,21.62114906,0.132714689,,,,FALSE,0.1,TRUE,3,15,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,20.83152199,20.6298008,0.28527683,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,20.86885643,20.81011391,0.083074473,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,20.5306778,20.7213974,0.26971826,,,,FALSE,0.1,TRUE,3,16,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,30.46711731,30.8500061,0.541487873,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,27.50870323,27.86096191,0.498169005,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,28.97012901,28.43814659,0.75233674,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,28.59869194,30.69681168,2.96718812,,,,FALSE,0.1,TRUE,3,24,,Y,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,29.43444824,29.40344811,0.043840811,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,21.49490356,22.2297821,1.039273858,,,,FALSE,0.1,TRUE,3,17,,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,20.40423775,20.80216789,0.562758207,,,,FALSE,0.1,TRUE,3,17,,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,20.49847221,20.94876862,0.636813939,,,,FALSE,0.1,TRUE,3,17,,Y,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,21.5273056,21.62114906,0.132714689,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,20.42807961,20.6298008,0.28527683,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,20.75137138,20.81011391,0.083074473,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,20.912117,20.7213974,0.26971826,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,31.2328968,30.8500061,0.541487873,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,28.2132206,27.86096191,0.498169005,,,,FALSE,0.1,TRUE,3,24,,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,27.90616417,28.43814659,0.75233674,,,,FALSE,0.1,TRUE,3,24,,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,32.7949295,30.69681168,2.96718812,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,29.37244797,29.40344811,0.043840811,,,,FALSE,0.1,TRUE,3,25,,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,38.61701584,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,37.71232605,34.90509415,3.970025539,,,,FALSE,0.1,TRUE,3,34,,Y,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,37.83981705,35.2431221,3.672281265,,,,FALSE,0.1,TRUE,3,34,,Y,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,24,,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,33.83777618,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,32.72408295,32.72408295,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,21.79509926,21.8645401,0.098205529,,,,FALSE,0.1,TRUE,3,18,,N,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,22.14116287,22.13788414,0.004636828,,,,FALSE,0.1,TRUE,3,19,,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,23.3849926,23.53118896,0.206752881,,,,FALSE,0.1,TRUE,3,19,,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,21.47442627,21.64697266,0.244017437,,,,FALSE,0.1,TRUE,3,16,,N,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,21.61569786,21.52724266,0.125094544,,,,FALSE,0.1,TRUE,3,17,,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,38.61701584,38.61701584,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,32.09786224,34.90509415,3.970025539,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,32.64642715,35.2431221,3.672281265,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,33.83777618,33.83777618,,,,,FALSE,0.1,TRUE,3,30,,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,32.72408295,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
