Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate66_3-24-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-25 00:05:19 AM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,19.54174995,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A2,Sample 2,A,UNKNOWN,SYBR,None,22.59263992,22.72410202,0.185915485,,,,FALSE,0.1,TRUE,3,19,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,36.65212631,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,39.47004318,39.47004318,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,32.87325668,34.33000565,2.0601542,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,34.56419373,35.20362854,0.90429467,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,35.37328339,36.31097412,1.326092243,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,20.64241791,20.6775589,0.049695518,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,26.7675972,26.8715477,0.147009552,,,,FALSE,0.1,TRUE,3,23,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,32.63268661,32.26642609,0.517970622,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,27.60403061,27.66160965,0.081427708,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,19.54174995,19.54174995,,,,,FALSE,0.1,TRUE,3,15,,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,22.85556412,22.72410202,0.185915485,,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,36.65212631,36.65212631,,,,,FALSE,0.1,TRUE,3,33,,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,39.47004318,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B5,Sample 5,A,UNKNOWN,SYBR,None,35.78675461,34.33000565,2.0601542,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,35.84305954,35.20362854,0.90429467,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,37.24866104,36.31097412,1.326092243,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,20.71269798,20.6775589,0.049695518,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,26.97550011,26.8715477,0.147009552,,,,FALSE,0.1,TRUE,3,23,,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,31.90016556,32.26642609,0.517970622,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,27.71918678,27.66160965,0.081427708,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,39.05657578,39.05657578,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,30.4778595,31.21539497,1.043032646,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,34.17013931,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,32.36310577,32.36310577,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,25.32818222,25.44607544,0.166724846,,,,FALSE,0.1,TRUE,3,21,,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,33.16638947,33.16638947,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,25.89095879,26.25212669,0.510768533,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,39.05657578,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
