Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate67_3-24-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-25 01:40:15 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,27.71025276,27.50017929,0.297090113,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,33.48336792,33.67628479,0.272828341,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,33.55402756,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A5,Sample 5,A,UNKNOWN,SYBR,None,35.82774734,35.32849884,0.706041336,,,,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,31.45606613,35.60198212,5.863207817,,,,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,32.32131195,33.39624023,1.520178199,,,,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,24.23006058,24.29455185,0.091204435,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,22.83105659,22.66766357,0.231071278,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,35.34864426,33.55548096,2.535918474,,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,32.66672134,32.22827148,0.620060384,,,,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,28.50018501,28.12435532,0.53150481,,,,FALSE,0.1,TRUE,3,25,,Y,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,27.29010391,27.50017929,0.297090113,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,33.86920547,33.67628479,0.272828341,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,33.55402756,33.55402756,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
B5,Sample 5,A,UNKNOWN,SYBR,None,34.82925415,35.32849884,0.706041336,,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,39.74789429,35.60198212,5.863207817,,,,FALSE,0.1,TRUE,3,35,,Y,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,34.47116852,33.39624023,1.520178199,,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,24.35904312,24.29455185,0.091204435,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,22.50427246,22.66766357,0.231071278,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,31.76231384,33.55548096,2.535918474,,,,FALSE,0.1,TRUE,3,28,,Y,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,31.78982353,32.22827148,0.620060384,,,,FALSE,0.1,TRUE,3,28,,Y,N,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,27.74852371,28.12435532,0.53150481,,,,FALSE,0.1,TRUE,3,24,,Y,N,Y,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,23.52140808,23.53834915,0.02395964,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,25.69331551,25.853302,0.226255074,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,39.2490654,36.10132599,4.451575756,,,,FALSE,0.1,TRUE,3,35,,Y,N,N,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,33.11657715,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C12,Sample 12,B,UNKNOWN,SYBR,None,23.11150169,23.33398628,0.314640731,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,23.55529213,23.53834915,0.02395964,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,26.0132885,25.853302,0.226255074,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,32.95358658,36.10132599,4.451575756,,,,FALSE,0.1,TRUE,3,30,,Y,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,33.11657715,33.11657715,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
