Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate68_3-25-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-25 14:09:32 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,32.5845108,32.64046478,0.079133578,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,30.39031982,30.39031982,,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,30.30243301,30.33828735,0.050707042,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,36.60757065,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A5,Sample 5,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,31.95716095,31.73443985,0.314976543,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,32.93592453,33.65020752,1.010148644,,,,FALSE,0.1,TRUE,3,30,,Y,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,27.9695034,28.17860794,0.295719832,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,28.38721085,28.56705856,0.254341722,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,36.82141495,36.07293701,1.058510303,,,,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,38.94143677,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,32.69642258,32.64046478,0.079133578,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,Undetermined,30.39031982,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
B3,Sample 3,A,UNKNOWN,SYBR,None,30.3741436,30.33828735,0.050707042,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,36.60757065,36.60757065,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
B6,Sample 6,A,UNKNOWN,SYBR,None,31.51171684,31.73443985,0.314976543,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,34.36449051,33.65020752,1.010148644,,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,28.38771439,28.17860794,0.295719832,,,,FALSE,0.1,TRUE,3,25,,N,N,Y,N
B9,Sample 9,A,UNKNOWN,SYBR,None,28.74690437,28.56705856,0.254341722,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,35.32445526,36.07293701,1.058510303,,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,38.94143677,38.94143677,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,31.89978218,32.51117325,0.864638865,,,,FALSE,0.1,TRUE,3,28,,Y,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,25.90750313,25.88797379,0.027618662,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,27.11475563,27.27209473,0.222511083,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
