Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPogen_Plate76_3-27-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-27 19:10:15 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,22.41909409,22.16415405,0.360539645,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,34.36475372,36.73991394,3.358986378,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,32.20231247,32.53604889,0.471971869,,,,FALSE,0.1,TRUE,3,29,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,21.38831902,21.4312973,0.060779128,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,23.52610016,23.43496132,0.128889784,,,,FALSE,0.1,TRUE,3,19,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,21.69677734,21.69677734,,,,,FALSE,0.1,TRUE,3,18,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,31.19069672,31.5226593,0.46946463,,,,FALSE,0.1,TRUE,3,27,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,32.12405014,32.4335556,0.43770951,,,,FALSE,0.1,TRUE,3,28,,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,33.38339233,33.32672119,0.080145098,,,,FALSE,0.1,TRUE,3,30,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,33.91709518,33.28005219,0.900912166,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,23.75986481,23.73744965,0.031699825,,,,FALSE,0.1,TRUE,3,20,,N,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,21.90921402,22.16415405,0.360539645,,,,FALSE,0.1,TRUE,3,18,,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,39.11507797,36.73991394,3.358986378,,,,FALSE,0.1,TRUE,3,35,,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,32.86978149,32.53604889,0.471971869,,,,FALSE,0.1,TRUE,3,29,,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,21.47427368,21.4312973,0.060779128,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,23.34382248,23.43496132,0.128889784,,,,FALSE,0.1,TRUE,3,19,,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,21.69677734,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B7,Sample 7,A,UNKNOWN,SYBR,None,31.85461998,31.5226593,0.46946463,,,,FALSE,0.1,TRUE,3,28,,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,32.74306488,32.4335556,0.43770951,,,,FALSE,0.1,TRUE,3,29,,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,33.27005005,33.32672119,0.080145098,,,,FALSE,0.1,TRUE,3,30,,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,32.643013,33.28005219,0.900912166,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,23.71503448,23.73744965,0.031699825,,,,FALSE,0.1,TRUE,3,20,,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,36.45146561,36.45146561,,,,,FALSE,0.1,TRUE,3,33,,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,35.55299759,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,36.45146561,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,35.55299759,35.55299759,,,,,FALSE,0.1,TRUE,3,32,,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,36,,N,N,Y
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,28.9388752,29.90442276,1.365491748,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,28.00119591,27.87788391,0.174390852,,,,FALSE,0.1,TRUE,3,24,,N,N,N
E12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F8,Sample 8,C,UNKNOWN,SYBR,None,30.86997223,29.90442276,1.365491748,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,27.75457001,27.87788391,0.174390852,,,,FALSE,0.1,TRUE,3,24,,N,N,N
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,22.77479553,23.00376701,0.323814571,,,,FALSE,0.1,TRUE,3,18,,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,20.38348389,20.5599556,0.24956733,,,,FALSE,0.1,TRUE,3,17,,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,22.31752586,22.60227203,0.40269056,,,,FALSE,0.1,TRUE,3,19,,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,24.29061127,24.15032196,0.198397696,,,,FALSE,0.1,TRUE,3,21,,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,25.7686348,26.28477287,0.729929447,,,,FALSE,0.1,TRUE,3,22,,Y,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,23.36937523,23.4509964,0.115429766,,,,FALSE,0.1,TRUE,3,19,,N,N,N
