Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbbanPopgen_Plate78_3-30-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-30 11:05:57 AM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,23.38471222,24.19078064,1.139952898,,,,FALSE,0.1,TRUE,3,20,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,21.71579552,22.57896423,1.220704913,,,,FALSE,0.1,TRUE,3,18,,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,39.49272537,35.58041,5.532847881,,,,FALSE,0.1,TRUE,3,35,,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,32.33620453,34.52977753,3.102183342,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,35.24484253,33.81411743,2.023350954,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,34.33246231,33.7826767,0.777516961,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,33.91362762,36.09524155,3.085268021,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,24.88584137,25.26353073,0.534133434,,,,FALSE,0.1,TRUE,3,21,,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,24.85582733,24.58220291,0.386962026,,,,FALSE,0.1,TRUE,3,21,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,37.63115692,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,24.99684906,24.19078064,1.139952898,,,,FALSE,0.1,TRUE,3,22,,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,23.44213295,22.57896423,1.220704913,,,,FALSE,0.1,TRUE,3,19,,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,31.66809654,35.58041,5.532847881,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,36.72335434,34.52977753,3.102183342,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,32.38339233,33.81411743,2.023350954,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,33.23288727,33.7826767,0.777516961,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,38.27685547,36.09524155,3.085268021,,,,FALSE,0.1,TRUE,3,35,,Y,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,25.64122009,25.26353073,0.534133434,,,,FALSE,0.1,TRUE,3,22,,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,24.3085804,24.58220291,0.386962026,,,,FALSE,0.1,TRUE,3,20,,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B11,Sample 11,A,UNKNOWN,SYBR,None,37.63115692,37.63115692,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,31.72294617,31.64252281,0.113735802,,,,FALSE,0.1,TRUE,3,28,,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,28.25915718,28.50330353,0.345273733,,,,FALSE,0.1,TRUE,3,24,,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,36.658638,36.658638,,,,,FALSE,0.1,TRUE,3,32,,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,38.30817795,38.30817795,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,31.56209946,31.64252281,0.113735802,,,,FALSE,0.1,TRUE,3,28,,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,28.74744797,28.50330353,0.345273733,,,,FALSE,0.1,TRUE,3,25,,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,36.658638,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,38.30817795,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,20.93470764,21.3016777,0.518972695,,,,FALSE,0.1,TRUE,3,17,,Y,N,N
E2,Sample 2,C,UNKNOWN,SYBR,None,29.21096802,29.37631989,0.233844206,,,,FALSE,0.1,TRUE,3,25,,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,30.45718193,30.45718193,,,,,FALSE,0.1,TRUE,3,26,,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,31.604599,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,21.66864586,21.3016777,0.518972695,,,,FALSE,0.1,TRUE,3,18,,Y,N,N
F2,Sample 2,C,UNKNOWN,SYBR,None,29.54167366,29.37631989,0.233844206,,,,FALSE,0.1,TRUE,3,26,,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,30.45718193,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,31.604599,31.604599,,,,,FALSE,0.1,TRUE,3,28,,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,24.76230049,24.57318115,0.26745379,,,,FALSE,0.1,TRUE,3,21,,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,31.65300941,31.65300941,,,,,FALSE,0.1,TRUE,3,28,,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,23.66983032,23.79445648,0.176246658,,,,FALSE,0.1,TRUE,3,20,,N,N,N
