Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate80_3-30-24.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-30 14:49:39 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,24.94232368,26.54535103,2.267023087,,,,FALSE,0.1,TRUE,3,21,,N,Y,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,19.32720757,19.08613586,0.340925515,,,,FALSE,0.1,TRUE,3,15,,N,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,28.94685173,29.61888504,0.950398624,,,,FALSE,0.1,TRUE,3,25,,N,Y,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
A5,Sample 5,A,UNKNOWN,SYBR,None,29.22850418,30.24482727,1.43729651,,,,FALSE,0.1,TRUE,3,25,,N,Y,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,38.81491089,38.81491089,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,30.83232689,30.41234589,0.593942821,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,36.91042328,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
A9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
A10,Sample 10,A,UNKNOWN,SYBR,None,35.11024475,34.814888,0.417700231,,,,FALSE,0.1,TRUE,3,31,,N,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,34.2143898,35.48046875,1.790508747,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,28.14837837,26.54535103,2.267023087,,,,FALSE,0.1,TRUE,3,24,,N,Y,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,18.84506607,19.08613586,0.340925515,,,,FALSE,0.1,TRUE,3,15,,N,N,N,Y,N
B3,Sample 3,A,UNKNOWN,SYBR,None,30.29091835,29.61888504,0.950398624,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
B5,Sample 5,A,UNKNOWN,SYBR,None,31.26114845,30.24482727,1.43729651,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,38.81491089,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
B7,Sample 7,A,UNKNOWN,SYBR,None,29.99236488,30.41234589,0.593942821,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,36.91042328,36.91042328,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,34.51952744,34.814888,0.417700231,,,,FALSE,0.1,TRUE,3,31,,N,N,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,36.74655151,35.48046875,1.790508747,,,,FALSE,0.1,TRUE,3,33,,N,Y,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,25.45984459,25.77819443,0.450213313,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,23.82139969,24.12306595,0.426621854,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,22.38432884,22.72458649,0.481195629,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,24.11459923,24.33303642,0.308916837,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,24.14628029,23.65465736,0.695259809,,,,FALSE,0.1,TRUE,3,20,,N,Y,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,23.2411232,23.23257637,0.012087042,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,33.36328888,33.36328888,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,26.09654236,25.77819443,0.450213313,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,24.42473412,24.12306595,0.426621854,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,23.06484222,22.72458649,0.481195629,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,24.55147362,24.33303642,0.308916837,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,23.16303444,23.65465736,0.695259809,,,,FALSE,0.1,TRUE,3,19,,N,Y,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,23.22402954,23.23257637,0.012087042,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,33.36328888,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
D11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
E7,Sample 7,C,UNKNOWN,SYBR,None,39.96105957,39.96105957,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
E12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,39.96105957,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,24.70327568,25.07240295,0.52202481,,,,FALSE,0.1,TRUE,3,21,,N,Y,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
G3,Sample 3,D,UNKNOWN,SYBR,None,37.12012482,37.12012482,,,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N,Y
G4,Sample 4,D,UNKNOWN,SYBR,None,34.19318771,33.31778336,1.238008738,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,31.00014114,31.24467278,0.34581995,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
G7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
G8,Sample 8,D,UNKNOWN,SYBR,None,24.06159019,24.28361511,0.313990653,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,24.19966125,24.30489731,0.148826256,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,23.53403473,23.87041473,0.475711823,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,24.55282784,24.55946159,0.009381551,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N,N
G12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,25.44153023,25.07240295,0.52202481,,,,FALSE,0.1,TRUE,3,21,,N,Y,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
H3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,37.12012482,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
H4,Sample 4,D,UNKNOWN,SYBR,None,32.442379,33.31778336,1.238008738,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,31.48920441,31.24467278,0.34581995,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
H7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,N,Y
H8,Sample 8,D,UNKNOWN,SYBR,None,24.50564003,24.28361511,0.313990653,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,24.41013336,24.30489731,0.148826256,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,24.20679283,23.87041473,0.475711823,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,24.56609535,24.55946159,0.009381551,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N,N
H12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
