Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate83_3-31-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-31 18:25:42 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,26.74098969,27.11269379,0.52567035,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,24.66521835,24.68756485,0.031601369,,,,FALSE,0.1,TRUE,3,21,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,20.14241219,20.06853867,0.104472935,,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,21.34375191,21.15646362,0.264866978,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,27.17986298,27.17986298,,,,,FALSE,0.1,TRUE,3,23,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A7,Sample 7,A,UNKNOWN,SYBR,None,22.74824524,23.49979401,1.062849164,,,,FALSE,0.1,TRUE,3,19,,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,29.64539528,27.45556831,3.096883059,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,27.74185371,26.21149826,2.16424942,,,,FALSE,0.1,TRUE,3,24,,Y,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,33.57807541,33.63007355,0.073533773,,,,FALSE,0.1,TRUE,3,29,,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,34.49197769,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A12,Sample 12,A,UNKNOWN,SYBR,None,29.08354759,28.99568939,0.124251604,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,27.4843998,27.11269379,0.52567035,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,24.70990944,24.68756485,0.031601369,,,,FALSE,0.1,TRUE,3,21,,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,19.99466515,20.06853867,0.104472935,,,,FALSE,0.1,TRUE,3,16,,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,20.96917343,21.15646362,0.264866978,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,Undetermined,27.17986298,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B7,Sample 7,A,UNKNOWN,SYBR,None,24.25134087,23.49979401,1.062849164,,,,FALSE,0.1,TRUE,3,20,,Y,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,25.26574135,27.45556831,3.096883059,,,,FALSE,0.1,TRUE,3,21,,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,24.68114281,26.21149826,2.16424942,,,,FALSE,0.1,TRUE,3,21,,Y,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,33.68206787,33.63007355,0.073533773,,,,FALSE,0.1,TRUE,3,30,,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,34.49197769,34.49197769,,,,,FALSE,0.1,TRUE,3,31,,N,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,28.90782928,28.99568939,0.124251604,,,,FALSE,0.1,TRUE,3,25,,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,33.3487854,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,39.47960281,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,24.88958549,24.79175186,0.138358995,,,,FALSE,0.1,TRUE,3,21,,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,36.22251129,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C10,Sample 10,B,UNKNOWN,SYBR,None,30.11741829,30.34660721,0.324123412,,,,FALSE,0.1,TRUE,3,26,,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C12,Sample 12,B,UNKNOWN,SYBR,None,29.99168587,26.45786667,4.997573853,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,33.3487854,33.3487854,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,39.47960281,39.47960281,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
