Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate89_4-4-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-04-05 01:14:21 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,26.87849045,26.57409668,0.430476457,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,37.00238419,37.00238419,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
A4,Sample 4,A,UNKNOWN,SYBR,None,26.54237556,26.00803757,0.755668044,,,,FALSE,0.1,TRUE,3,22,,N,Y,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,35.84420776,34.52571869,1.864625096,,,,FALSE,0.1,TRUE,3,32,,N,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,26.37229538,26.42097473,0.068841651,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,34.30292892,34.30292892,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,29.83172417,29.18309784,0.917297482,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
A10,Sample 10,A,UNKNOWN,SYBR,None,24.73788452,24.96705246,0.324091047,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,24.22758102,24.00570107,0.313785642,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,25.33553505,25.26273537,0.102954298,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,26.26970482,26.57409668,0.430476457,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,Undetermined,37.00238419,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
B3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
B4,Sample 4,A,UNKNOWN,SYBR,None,25.47369957,26.00803757,0.755668044,,,,FALSE,0.1,TRUE,3,21,,Y,Y,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,33.20722961,34.52571869,1.864625096,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,26.46965218,26.42097473,0.068841651,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,Undetermined,34.30292892,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
B8,Sample 8,A,UNKNOWN,SYBR,None,28.5344696,29.18309784,0.917297482,,,,FALSE,0.1,TRUE,3,24,,N,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
B10,Sample 10,A,UNKNOWN,SYBR,None,25.19621849,24.96705246,0.324091047,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,23.78382111,24.00570107,0.313785642,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,25.18993568,25.26273537,0.102954298,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,29.97310829,29.97310829,,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,24.15775871,24.07741165,0.113626555,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,39.49840164,39.49840164,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,29.97310829,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
