Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate8_7-3-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-03 20:10:47 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,27.99161339,27.70594788,0.403993398,,,,FALSE,0.1,TRUE,3,23,86.88476563,,,,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,29.25304794,28.45495224,1.128676414,,,,FALSE,0.1,TRUE,3,25,86.88476563,83.00215912,,,Y,N,N,Y
A3,Sample 3,A,UNKNOWN,SYBR,None,26.41989899,26.58390427,0.231939837,,,,FALSE,0.1,TRUE,3,22,86.73439026,,,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,26.20600128,26.34863281,0.20171009,,,,FALSE,0.1,TRUE,3,22,86.88374329,,,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,30.53006935,30.53785515,0.01101078,,,,FALSE,0.1,TRUE,3,25,87.33155823,83.15002441,,,N,N,N,Y
A6,Sample 6,A,UNKNOWN,SYBR,None,31.76538849,30.55455399,1.712377191,,,,FALSE,0.1,TRUE,3,28,83.00067902,,,,Y,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,26.58094215,26.42107773,0.226081088,,,,FALSE,0.1,TRUE,3,23,86.88337708,,,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,24.01049042,23.92469788,0.121330321,,,,FALSE,0.1,TRUE,3,20,84.79283142,,,,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,21.6974659,21.94717216,0.353138,,,,FALSE,0.1,TRUE,3,18,86.28860474,,,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,26.19768333,25.87057495,0.462601125,,,,FALSE,0.1,TRUE,3,22,86.43798828,,,,N,N,N,N
