Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate90_4-4-24.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-04-05 02:49:48 AM EDT,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,35.67873001,36.48255539,1.136780739,,,,FALSE,0.1,TRUE,3,32,,N,Y,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,24.94026566,25.04808044,0.152471781,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,32.84518814,32.84518814,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,24.2812767,24.50842285,0.321231812,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N,N,N
A5,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
A6,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
A7,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
A8,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
A9,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
A10,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
A11,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,N,N,Y,Y,Y
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,37.28638077,36.48255539,1.136780739,,,,FALSE,0.1,TRUE,3,35,,N,Y,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,25.15589333,25.04808044,0.152471781,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,32.84518814,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
B4,Sample 4,A,UNKNOWN,SYBR,None,24.73556709,24.50842285,0.321231812,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N,N,N
B5,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
B6,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
B7,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
B8,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
B9,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
B10,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
B11,,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,33.2434082,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C5,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C6,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C7,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C8,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C9,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C10,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C11,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,33.2434082,33.2434082,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
D5,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
D6,,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N,Y
