Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\Urbanpopgen_Plate79_3-30-24.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-30 13:04:50 PM EDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A2,Sample 2,A,UNKNOWN,SYBR,None,38.66160202,38.92765427,0.376254708,,,,FALSE,0.1,TRUE,3,35,,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,34.46483231,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,35.43006897,,,,,FALSE,0.1,TRUE,3,39,,N,Y
A5,Sample 5,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A7,Sample 7,A,UNKNOWN,SYBR,None,Undetermined,32.41714859,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A10,Sample 10,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
A12,Sample 12,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
B1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
B2,Sample 2,A,UNKNOWN,SYBR,None,39.19370651,38.92765427,0.376254708,,,,FALSE,0.1,TRUE,3,35,,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,34.46483231,34.46483231,,,,,FALSE,0.1,TRUE,3,31,,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,35.43006897,35.43006897,,,,,FALSE,0.1,TRUE,3,31,,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
B6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
B7,Sample 7,A,UNKNOWN,SYBR,None,32.41714859,32.41714859,,,,,FALSE,0.1,TRUE,3,28,,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
B9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
B10,Sample 10,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
B11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
B12,Sample 12,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
