Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate35_1-11-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 15:18:23 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,+++,A,UNKNOWN,FAM,NFQ-MGB,30.34682083,31.22000313,1.234866261,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
A2,Sample 4,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A3,Sample 8,A,UNKNOWN,FAM,NFQ-MGB,36.19643784,36.19643784,,,,,FALSE,0.1,TRUE,3,31,,N,N,N
A4,Sample 12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A5,Sample 16,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A6,Sample 20,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A7,Sample 24,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A8,Sample 28,A,UNKNOWN,FAM,NFQ-MGB,33.75055313,33.54050064,0.297059089,,,,FALSE,0.1,TRUE,3,30,,N,N,N
A9,Sample 32,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.57336426,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
A10,Sample 36,A,UNKNOWN,FAM,NFQ-MGB,31.96025848,34.44419861,3.512824535,,,,FALSE,0.1,TRUE,3,6,,Y,Y,N
A11,Sample 40,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A12,,A,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
B1,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,37.45172119,35.78581238,2.35594821,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
B2,Sample 4,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
