Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate37_1-11-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 15:44:31 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,+++,A,UNKNOWN,FAM,NFQ-MGB,28.14550209,28.04734993,0.138808116,,,,FALSE,0.01,TRUE,3,27,,N,N,N
A2,+++,B,UNKNOWN,FAM,NFQ-MGB,33.92256165,34.46231842,0.763331354,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
A3,+++,C,UNKNOWN,VIC,NFQ-MGB,31.6100502,31.6100502,,,,,TRUE,0.02374205,TRUE,3,29,,N,N,N
A3,+++,D,UNKNOWN,FAM,NFQ-MGB,31.33018875,31.33018875,,,,,TRUE,0.092022022,TRUE,3,27,,N,N,N
A4,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y
A5,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A6,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.02374205,TRUE,3,24,,N,Y,N
A6,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,24.87289238,24.77805138,0.134125426,,,,TRUE,0.092022022,TRUE,3,21,,N,Y,N
A7,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y
A8,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A9,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.02374205,TRUE,3,39,,N,Y,Y
