Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 17:22:23 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,+++,A,UNKNOWN,FAM,NFQ-MGB,29.76179314,29.76179314,,,,,FALSE,0.01,TRUE,3,29,,N,N,N,N
A2,+++,B,UNKNOWN,FAM,NFQ-MGB,34.60838318,34.60838318,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
A3,+++,C,UNKNOWN,VIC,NFQ-MGB,32.04558563,32.04558563,,,,,TRUE,0.018342163,TRUE,3,30,,N,N,N,N
A3,+++,D,UNKNOWN,FAM,NFQ-MGB,32.69002914,32.69002914,,,,,TRUE,0.174224667,TRUE,3,28,,N,N,N,N
A4,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.9271698,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
A5,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,32.52935028,32.77779388,0.351352304,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
A6,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,31.71010017,31.80593872,0.135536179,,,,TRUE,0.018342163,TRUE,3,31,,N,Y,N,N
A6,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,23.64227486,24.00117874,0.507568061,,,,TRUE,0.174224667,TRUE,3,18,,N,Y,N,N
A7,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,33.9271698,33.9271698,,,,,FALSE,0.01,TRUE,3,33,,N,N,N,N
A8,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,33.02623749,32.77779388,0.351352304,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
A9,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,31.90177727,31.80593872,0.135536179,,,,TRUE,0.018342163,TRUE,3,31,,N,Y,N,N
A9,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,24.36008453,24.00117874,0.507568061,,,,TRUE,0.174224667,TRUE,3,19,,N,Y,N,N
A10,,A,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,N,N
A11,,B,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
A12,,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,N,N
A12,,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.174224667,TRUE,3,39,,N,N,N,N
B1,Sample 2,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
B2,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.88926315,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
B3,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,34.38806915,35.72180176,1.886182785,,,,TRUE,0.018342163,TRUE,3,33,,N,Y,N,N
B3,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,26.21057892,26.58610916,0.531078637,,,,TRUE,0.174224667,TRUE,3,21,,N,Y,N,N
B4,Sample 2,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
B5,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,37.88926315,37.88926315,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
B6,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,37.05553436,35.72180176,1.886182785,,,,TRUE,0.018342163,TRUE,3,35,,N,Y,N,N
B6,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,26.9616375,26.58610916,0.531078637,,,,TRUE,0.174224667,TRUE,3,22,,N,Y,N,N
B7,Sample 3,A,UNKNOWN,FAM,NFQ-MGB,4.816982746,18.38005257,19.18107796,,,,FALSE,0.01,TRUE,3,39,,N,Y,N,Y
B8,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
B9,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,33.40506363,33.17895889,0.319760382,,,,TRUE,0.018342163,TRUE,3,32,,N,N,N,N
