Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate7_7-3-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-03 16:22:41 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,BADROX,HIGHSD,EXPFAIL,,,
A1,Sample 1,A,UNKNOWN,SYBR,None,2.190189838,15.03681946,18.1678791,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y,,,
A2,Sample 2,A,UNKNOWN,SYBR,None,36.38496399,19.127985,24.40505409,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y,,,
A3,Sample 3,A,UNKNOWN,SYBR,None,34.70643997,19.13107491,22.02689362,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y,,,
A4,Sample 4,A,UNKNOWN,SYBR,None,34.27752686,18.1070385,22.86852264,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y,,,
A5,Sample 5,A,UNKNOWN,SYBR,None,23.9893589,30.98541641,9.893920898,,,,FALSE,0.1,TRUE,3,24,,N,N,Y,N,,,
A6,Sample 6,A,UNKNOWN,SYBR,None,33.73529434,18.55095673,21.47389603,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y,,,
A7,Sample 7,A,UNKNOWN,SYBR,None,33.67644882,17.69390869,22.60272408,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y,Y,,,
A8,Sample 8,A,UNKNOWN,SYBR,None,35.15113831,18.10416603,24.10805893,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y,,,
A9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,37.72468185,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
A10,Sample 10,A,UNKNOWN,SYBR,None,1.514161468,1.484135866,0.042462613,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
A11,Sample 11,A,UNKNOWN,SYBR,None,1.3525666,1.3525666,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y,,,
A12,Sample 12,A,UNKNOWN,SYBR,None,37.00144577,35.39778519,2.267918549,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
B1,Sample 1,A,UNKNOWN,SYBR,None,27.88344955,15.03681946,18.1678791,,,,FALSE,0.1,TRUE,3,31,,N,N,Y,N,,,
