ID,Sample.Plate,Species,Region,Site,CollectionDate,Season,Rain,Depth
urban_083,Sample 1_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Oct-22,Fall,Wet,8.2
urban_157b rex,Sample 2_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,6.6
urban_160b,Sample 3_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.3
urban_162b,Sample 4_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.3
urban_164,Sample 5_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.5
urban_165,Sample 6_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.5
urban_167,Sample 7_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.5
urban_168,Sample 8_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.5
urban_169,Sample 9_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.5
urban_170,Sample 10_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.5
urban_172,Sample 11_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.5
urban_104,Sample 12_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami reef,Rainbow Reef,Oct-22,Fall,Wet,8.5
urban_313,Sample 1_UrbanPopgen_Plate02_6-29-23_data.csv,Mcav,Miami reef,Rainbow Reef,Jun-23,Summer,Wet,4.6
urban_316,Sample 2_UrbanPopgen_Plate02_6-29-23_data.csv,Mcav,Miami reef,Rainbow Reef,Jun-23,Summer,Wet,5.2
urban_255,Sample 3_UrbanPopgen_Plate02_6-29-23_data.csv,Mcav,Miami urban,Belle Isle,Apr-23,Spring,Dry,0.6
urban_269,Sample 4_UrbanPopgen_Plate02_6-29-23_data.csv,Mcav,Miami urban,Belle Isle,Apr-23,Spring,Dry,0.5
