,Species,Region,Site,ID,Sample.Plate,CollectionDate,Season,Rain,sampleName,fileName,totalSym,propA,propB,propC,propD,dom,coDom,background
1,Cnat,Miami urban,Star Island,C2,Sample 11_UrbanPopgen_Plate16_7-7-23_data.csv,22-Oct,Fall,Wet,Sample 11,UrbanPopgen_Plate16_7-7-23_data.csv,1,0.120512895,0.000622847,0,0.878864258,D,DA,B
2,Cnat,Miami urban,Star Island,urban_130,Sample 5_UrbanPopgen_Plate16_7-7-23_data.csv,22-Oct,Fall,Wet,Sample 5,UrbanPopgen_Plate16_7-7-23_data.csv,1,0.285434766,0,6.52E-05,0.714500047,D,DA,C
3,Dlab,Miami offshore,Emerald Reef,OS3 rex2,Sample 1_UrbanPopgen_Plate33_7-17-23_data.csv,22-Jun,Summer,Wet,Sample 1,UrbanPopgen_Plate33_7-17-23_data.csv,1,0.770270467,0.229729533,0,0,A,AB,
4,Dlab,Miami offshore,Emerald Reef,urban_332,Sample 7_UrbanPopgen_Plate34_7-17-23_data.csv,23-Jul,Summer,Wet,Sample 7,UrbanPopgen_Plate34_7-17-23_data.csv,2,1,0,0.978100905,0.021899095,A,AC,D
5,Dlab,Miami offshore,Emerald Reef,urban_333,Sample 8_UrbanPopgen_Plate34_7-17-23_data.csv,23-Jul,Summer,Wet,Sample 8,UrbanPopgen_Plate34_7-17-23_data.csv,2,1,0,0,1,A,AD,
6,Dlab,Miami offshore,Emerald Reef,urban_335,Sample 10_UrbanPopgen_Plate34_7-17-23_data.csv,23-Jul,Summer,Wet,Sample 10,UrbanPopgen_Plate34_7-17-23_data.csv,2,1,1,0,0,A,AB,
7,Dlab,Miami offshore,Rainbow Reef,urban_307,Sample 4_UrbanPopgen_Plate33_7-17-23_data.csv,23-Jun,Summer,Wet,Sample 4,UrbanPopgen_Plate33_7-17-23_data.csv,3,1,1,0.15729101,0.84270899,A,ABCD,
8,Dlab,Miami offshore,Rainbow Reef,urban_308,Sample 5_UrbanPopgen_Plate33_7-17-23_data.csv,23-Jun,Summer,Wet,Sample 5,UrbanPopgen_Plate33_7-17-23_data.csv,1,0.998441842,0.001387946,0,0.000170212,A,A,BD
9,Dlab,Miami offshore,Rainbow Reef,urban_309,Sample 6_UrbanPopgen_Plate33_7-17-23_data.csv,23-Jun,Summer,Wet,Sample 6,UrbanPopgen_Plate33_7-17-23_data.csv,1,0.994755266,0.005244734,0,0,A,A,B
10,Dlab,Miami offshore,Rainbow Reef,urban_320,Sample 9_UrbanPopgen_Plate33_7-17-23_data.csv,23-Jun,Summer,Wet,Sample 9,UrbanPopgen_Plate33_7-17-23_data.csv,1,0.001139028,0.095949632,0,0.90291134,D,D,AB
11,Dlab,Miami urban,Belle Isle,urban_214,Sample 11_UrbanPopgen_Plate33_7-17-23_data.csv,23-Apr,Spring,Dry,Sample 11,UrbanPopgen_Plate33_7-17-23_data.csv,1,0.718101069,0,0,0.281898931,A,AD,
12,Mcav,Miami offshore,Emerald Reef,urban_083,Sample 1_UrbanPopgen_Plate01_6-29-23_data.csv,22-Oct,Fall,Wet,Sample 1,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.417623142,0,0.582376858,0,C,CA,
13,Mcav,Miami offshore,Emerald Reef,urban_157b rex,Sample 2_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 2,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.444854527,0.002695128,0.102133038,0.450317308,,ACD,B
