ID,Sample.Plate,Species,Region,Site,CollectionDate,Season,Rain,sampleName,fileName,totalSym,propA,propB,propC,propD,dom,coDom,background
urban_083,Sample 1_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,22-Oct,Fall,Wet,Sample 1,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.41762314177237203,0,0.582376858227628,0,C,CA,""
urban_157b rex,Sample 2_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 2,UrbanPopgen_Plate01_6-29-23_data.csv,0.9999999999999999,0.44485452684505017,0.002695127527180449,0.10213303757302895,0.45031730805474035,"",ACD,B
urban_160b,Sample 3_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 3,UrbanPopgen_Plate01_6-29-23_data.csv,0.9999999999999999,0.006228769489418778,0.00542668101931378,0.9875842808536687,7.602686375987414e-4,C,C,ABD
urban_162b,Sample 4_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 4,UrbanPopgen_Plate01_6-29-23_data.csv,0.9999999999999999,0.4116652896568597,0,0.5880060811999815,3.2862914315865647e-4,C,CA,D
urban_164,Sample 5_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 5,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.5484425244024848,0.0011972426165445414,0.4496255121251596,7.347208558111252e-4,A,AC,BD
urban_165,Sample 6_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 6,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.35286199287785247,3.4093445007227246e-4,0.0643414640778254,0.5824556085942498,D,DA,BC
urban_167,Sample 7_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 7,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.3970504575230614,0.0045371089044867995,0.46475586241435757,0.13365657115809426,"",ACD,B
urban_168,Sample 8_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 8,UrbanPopgen_Plate01_6-29-23_data.csv,0.9999999999999998,0.44819369002458026,0,0.5507835237838803,0.001022786191539305,C,CA,D
urban_169,Sample 9_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 9,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.27952016251847517,5.361773117728601e-4,0.7187882236915953,0.0011554364781566429,C,CA,BD
urban_170,Sample 10_UrbanPopgen_Plate01_6-29-23_data.csv,Mcav,Miami offshore,Emerald Reef,23-Jan,Winter,Dry,Sample 10,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.3989809442497,0.002031882723277596,0.5989871730270224,0,C,CA,B
